Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0xd5076e7360c364d33ea0807b3dc05c6f4281a8013822520481dc1edaebd654dc,"[4575601.114858847, 44058.36535686091]",0.9187110719512063,5028413.852033191,False,Yaaaaaas,Yaaaaaas
0x1dcc158c82df2e95f977ff5853c6dc9ff9a96ccfb2a5f70c30b7c20d75d0346f,"[9122356.098298186, 66304.51673921809]",0.8456679595159474,10865565.511429461,False,Fund Completed Work/Bounties,Fund Completed Work/Bounties
0x1ea93e1b5aafb2e6c541efe69eb3e15835efa29c2a92ab834578bfef482374d2,"[8247947.1557941185, 393706.25216120086]",0.821143164793903,10523930.269972190,False,A,A
0x2ab8f9ec193623518f69cbdf31c3c945a03af82bcac03300f927ec87149c0782,"[9802198.72324061, 2179703.8412327045]",0.8126392605336702,14744429.842836600,False,"Yes, agree to 25/25/25/25 split","Yes, agree to 25/25/25/25 split"
0x2d9a7ecb7a5e503a3fb1b252bbf66a3bc20f07517de83c8043cf36e0954496a4,"[11314106.000223162, 510570.6939688143]",0.8103300405549813,14592420.498311350,False,Yes. Form and fund the CTT.,Yes. Form and fund the CTT.
0xe95a5edba1d582d8288812a89846e7ac72b850312f34335e36a9b04a831312cc,"[9313084.628468586, 940039.5282074666]",0.8090630809527565,12672836.516779291,False,Keep spillover turned off,Keep spillover turned off
0x0a5979a05cebab1c87e08bbe8d142657d3442e0987d45d36c2eb41584d86da7b,"[8084206.66000237, 2764431.5808443036]",0.8059010004001846,13461502.387339870,True,Yes. Launch Round 2 parcel roll,No. Wait until the great battle.
0x6fd66b330df28c8ca3fab19da85d632be22a3dc393ae468bee6e9e88fa248b25,"[10995226.26346121, 89049.08295855671]",0.8042705654708776,13781774.221626820,False,YES Fund 4.5k ghst partnership,YES Fund 4.5k ghst partnership
0x0f8ae0b2eebe1eddf0dc7e2c49b07fcec17338101a4a21f5aa48e9bb3f35ef28,"[10606336.384026527, 2275875.0206683786]",0.8030145359652475,16042314.089881450,False,"Yes, turn off the GHST Curve","Yes, turn off the GHST Curve"
0x1399095d33be4ea641e5781dfcf290bf1ca9d4248be904cebdf737a1bfe54eda,"[7572663.751162963, 0.0, 658605.2534640061]",0.8029975373671514,10250677.768720750,False,Yes. Vote for vQi-Qi,Yes. Vote for vQi-Qi
0x1db830856f24fb599f56db6aad4d9599d4f89168977ca7a1c6c9f6c21b68b0c4,"[4022598.8504654975, 5383971.794705205]",0.8004141739093448,11752129.024936650,False,Do something else,Do something else
0xbe89c5f01a02817058d66459cb00a399c45aa8991e29121fb1ca3b0e11e0c84b,"[14089520.519725071, 379995.95891104615]",0.7992111678927613,18104747.606051531,False,"Yes, once per 24h window","Yes, once per 24h window"
0x5a0a08babde96cc719c7726fa84e299b313a33048932a147bb8b19035f253885,"[7561785.744760547, 6316232.884046032]",0.7967078518696009,17419206.546338931,True,Yes. Fund the Forge Team. ,No. Do Not Fund the Forge Team.
0x0e51eab4886527f297d8470f0434e502032be7368d69a2f71ac06057e193ebec,"[8431164.891000178, 1793925.4529613354]",0.7921678621168782,12907731.849456020,False,"Yes, fund the competition","Yes, fund the competition"
0xa0822fa69d7a7c66e75462ebe3dc212fdcf20100ff6226de36ba31e9ccc6b534,"[10400267.05375697, 39830.84079934572]",0.7917166077421561,13186660.217132160,False,"Yes, do it.","Yes, do it."
0x1338064afddf6631e90e1a95d12117cf516e5de54e00eb557db5996845f75f47,"[11071241.762275307, 2322522.4063156117]",0.7916415571809975,16918975.573093399,False,Yes. Transfer Parcels/alchemica,Yes. Transfer Parcels/alchemica
0xda5dc0306f37d55d5a1b61d8ddc3dd3af70bf96377476706514f75198dc98950,"[10573315.136381593, 1950950.1048323917]",0.7896431238200663,15860665.233966950,False,"Yes, secure $4M for liquidity ","Yes, secure $4M for liquidity "
0x7ab0300ee19b177737704e15ac53602ef3080285cd9b2eedf3236807873323f4,"[10705673.447684065, 1036657.1291123584]",0.7893194826049985,14876524.443617050,False,Link estate size to Aaltar level,Link estate size to Aaltar level
0x16f6d4043da35ef318a9071e701e905adab8fe3928c2584880aae786c2357eb3,"[7513608.48754045, 4204170.497220973]",0.7877573184914677,14874858.931429069,False,"Yes, Fund the experience","Yes, Fund the experience"
0x57055266d44a9c8679807c917fb0518bfd3ea92e6f21e81b977ce9892c191b6a,"[12967685.498395326, 306865.4902091946, 0.0]",0.7872514910508347,16861893.739807919,False,Add 50k GHST + equal alchemica,Add 50k GHST + equal alchemica
0x23655a075cd863a6c91f5a55557413c2b20b6cf3d41ab12c575437b321e9b851,"[10520694.285202313, 579686.9294728459]",0.7824104456759705,14187414.388473410,False,Yes. Fund and implement geodes.,Yes. Fund and implement geodes.
0xfecb010001c499cb65a4b5f0c19f729fb1135fadea497f099f3b612a57decb21,"[12182523.664223503, 1315655.0242957768]",0.78205272292926,17259934.391584810,False,"yes, fund 25'000 GHST","yes, fund 25'000 GHST"
0xd32d9f40f79c98b69761a9f09f8de0f28a8ec005cc0f01a7f4c9ea3ee8f2e1dc,"[9380603.956468176, 2128442.9496745802]",0.7806874887365257,14742194.632540019,False,Fund Gotchi Lodge 2023,Fund Gotchi Lodge 2023
0x1f84e1141646282c7e09271cd267c15537298b8086f03c97d2cdefb1f7a181e5,"[9276994.338592796, 182982.9705847938]",0.7784868283518417,12151749.990691040,False,Require weighted voting,Require weighted voting
0xfd80fb620a1bfc80f1796d5f3cdc47bb62223e7ccbb8333bd4d7deb76c9f1fd9,"[9648532.92662342, 1035899.5793193178, 612030.1815128888]",0.7781672105454557,14516754.926665930,False,Option 1 + Accept revenue split.,Option 1 + Accept revenue split.
0x08e86b49931141561456cd9c298eca026f0adf4b78fad7c0d46988f30697cc6d,"[2697089.0086235837, 9575063.318820639]",0.7738962673778635,15857619.224634670,False,Another way (new prop required),Another way (new prop required)
0x120a44dd03ae9a0b3c298b2dffd46ae2a480527aa7dbd124154de686801d4bf6,"[9108094.906909674, 436260.98509978247]",0.7673068506963354,12438773.201813459,False,Yes. Increase USDC remove MATIC.,Yes. Increase USDC remove MATIC.
0x0ad57c0cffa815efcc3f41afac774245777f4bae11fee8d0c0ea956ce34a2427,"[9036232.07446502, 251323.34195574146, 162007.84079208452]",0.766353349380484,12330556.478746811,False,Sunset FRENS immediately,Sunset FRENS immediately
0x35f331772e625d209848a32cc25e84fef06d56cca7d270ff0031dcdeb38f3b4c,"[11657521.281379804, 411361.3328770605]",0.7620375012189856,15837649.190428291,False,"Yes, launch the Aavegotchi Forge","Yes, launch the Aavegotchi Forge"
0x378153f1fe22c673bb57d4c421b6ef93f5562f806317950be7c189547c0458c2,"[9003088.682638818, 5469804.276155202]",0.7603121009511662,19035463.121904980,True,Yes. Launch Round 2 parcel roll,No. Wait until the great battle.
0x711c79d517b315b252e90cb6cf7a22e9291c5e052370b2582e4979cf55f055e9,"[11112778.601194292, 251679.43028616032]",0.7584328307699004,14984132.503789639,False,Yes. Fund the Project 50k GHST,Yes. Fund the Project 50k GHST
