Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0x9853b639d36942e92362c486e3725be7420c7027e9712a73aeb055ce0018af54,"[9064.110953957219, 0.0]",0.9714678195782576,9330.325484062,False,1,1
QmdX2fPNXTU92Vbun2TsNsWm2VZRHoGYUMoZtUG2A5w43Y,"[162608.65473579455, 0]",0.9600108905324178,169382.093827720,False,For,For
0x01ca9653acedfe3d2ddbe5354a792d743498e19418279bbcc8b1adb09d27aba1,"[82750.06818780387, 0.0]",0.9551605337472846,86634.722922605,False,For,For
0xe13fd0d6c8fa949aa2f3d5efba84444dd262ff0076fa28928e012ac6eea672ab,"[61122.09094118118, 0.0, 0]",0.9531619319717082,64125.610655415,False,For,For
QmfT4rq1eiUUX9rNdo5NX1BaJ26XWxjwHP6VQihAn1vYku,"[141955.15630190488, 0.0]",0.9519596448446053,149118.880270473,False,For,For
QmSCPbaFyS2AaQwKUDEzuLT5MGn7hvzfVDPPk5iY5wJVbZ,"[163865.18618332554, 0.0]",0.9496535851873042,172552.590480671,False,For,For
QmWM5erWRcPuL1pDReE3rGLKR1NEpfYo6pTHAqhMC3ne1V,"[145945.96764890107, 0.0]",0.9489014666263061,153805.187136861,False,For,For
0x474dfa6f82c347c723dc6ba8c414d52cefb212ab9873c4d77702303517364c5e,"[91328.32583951118, 0.0]",0.9411746234721058,97036.536644592,False,For,For
0xe6c7e6f8568c23ac987babcdef66e8cfa851c788250b794f7c629afecb70ef1a,"[60010.709020307266, 0.0, 0.0]",0.9387769825612314,63924.350655235,False,For,For
0x44d7e3a7592d19ea6ea54d027ef577edbb1d3e94532c9521953c1cce55fe5d9b,"[142675.5385775713, 0.0]",0.9386326176909526,152003.601716457,False,For ,For 
0x081846a9ccc9e15f6d4f6595c374dceba2d19b6c455bbed2e1572421b81c3911,"[96752.43438869146, 0.0]",0.9344296660278697,103541.698114073,False,For,For
QmZMLh82Gey2o4UsdD7YW6A2cvdyhtcWZWSx68LVcULKCs,"[87730.96074873793, 8131.562635826198]",0.9318032696045776,102878.500764700,False,For,For
0x51d97e628aff10bae319a9ed040365c3ef5af32780af1b527925af8dd5bc3f88,"[145263.14345533532, 0.0]",0.9317981752923802,155895.501093630,False,for (3k ALCX staked in Premia),for (3k ALCX staked in Premia)
0x0192d564db43abe077a73fafc55e7ae8d6e2c879fe285f00c298bdd57e623dca,"[131550.2906102288, 0.0]",0.9283492704027693,141703.445895051,False,For,For
0xe111e77d0bcc78d2c7c994c38ec1e915b1b50a306f9d90fa09b1e78db71eba12,"[86609.99294680233, 0.0]",0.926162262907068,93514.923265118,False,For ,For 
0x30585c0ef576da3aa3d9c9980823d96a8a6eaa90592f6754ef91b40eb7583f26,"[169728.26476626497, 0]",0.9234474344007051,183798.512447451,False,For,For
0x1f60240301888057b2d8fe4ca5d5f6488869de636ad25238abc187979389e313,"[75028.05729955104, 75028.05729955104, 75028.05729955106, 75028.05729955104, 75028.05729955104, 75028.05729955104, 75028.05729955104, 75028.05729955104, 75028.05729955104]",0.9233766213310369,81254.014414399,False,Yearn Curve rETH/stETH,Yearn Curve rETH/stETH
0xb965b9c2a10f41bc77d4c1613c490c50548edd3eeefc99f2e085249df63674ac,"[50934.85775135142, 0]",0.9222650446086674,55228.004193701,False,For,For
0x2cf4e9674dd10c192a4e8bb07bb3788cbcffd63fb679f0616de1e87d970b12d2,"[57701.63149024131, 0.0, 0.0]",0.9203146852507702,62697.718959595,False,For,For
0xe98df89548f3c375302ba705e23013dea76afef94b40f6c245daf09b6dabac50,"[159515.0501310485, 0]",0.9120158329407339,174903.816764565,False,For,For
0xa6a9d32db14217a667321559f50690c817696deff73c17ee1b670237c7389ebd,"[84999.13713571457, 0.0]",0.9117430138294621,93227.078076206,False,For,For
0xc0dd7e6ed4ae07c1f6816ae51b19d4003584a92e4348691935540f50e79d4075,"[71668.4396672808, 0.0, 37503.09000738123]",0.9101037769650805,119955.034181614,False,For,For
QmSLZQA8exsmzCUQvQfk5oS9QhDnzyLqZ3bYBF9dzJWjYh,"[142062.68393149358, 0.0]",0.9077453326920587,156500.594181173,False,For,For
0x946608f1c5b3046fb412cdbb3e3a298a500a30db98694274e30ae559438c9272,"[95709.9023272033, 0.0]",0.9043843125758416,105828.795343215,False,For,For
QmcMQC4hut8kFNZJzsdbok2bJKqLRY8Y3bpGFCXCmdN6CL,"[94891.5076171232, 656.1782844130463]",0.9030517604939997,105805.325986263,False,For,For
QmU2nSgkPRg3EPftuKbARc2cCz8HLgXxkdBgFHLHvg9xFk,"[82182.04152606215, 0.0]",0.8964443352435806,91675.565671048,False,For,For
QmZJXfN8cFeRgbcx2mPPPaEpcLG6Q8wTRt2xQTrnh7jY3S,"[76434.76876449658, 0.0]",0.8926751743676934,85624.391670394,False,For,For
QmP237q2ZHVYRqt22AsdJvaMt7SgKzGUz4h9X9Jbq5og1H,"[65554.3049064473, 0.0]",0.8919230886241527,73497.710444483,False,For,For
0xeb2668c14f16a5b6721191cf303244a71d719aeadccfedaa1e45065da92d629d,"[61995.31486563404, 0.0]",0.8918548575351741,69512.784890774,False,Choice 1 (CRV),Choice 1 (CRV)
0x38c2fb21a39ee061ef5b7113d3cd8b8e4954f0a0388749d62199a8d524e69b17,"[85554.02033726881, 0.0]",0.8849340478595901,96678.414108035,False,For,For
Qma37A1zw7rTsr9vEx2x7gc2hDJsbwjtyBpUc6EbYLxvsZ,"[75110.00499829183, 0.0]",0.8839484183046551,84971.027090412,False,For,For
QmTFeVurxGvRn1xx5r4Jwu6jPUTGnbjyFv56ZZj3YURsZA,"[88318.3141060656, 0]",0.882925014467993,100029.235392410,False,Raise the cap,Raise the cap
QmcwWGyaDb2k53o8CcTR9EhjuvdWYbZfZoHnJ7jnG8Frp5,"[35627.70100510044, 0.0]",0.8798854901707678,40491.292791049,False,Raise The Cap,Raise The Cap
0x400427697f3a0335a5cad821b9f6da29bc30b1b7fffb8dc64e3d202a42df55d5,"[50967.44682820982, 18546.885477322176]",0.8659688236454367,80273.481455025,False,For,For
0x83c326795d4e9d32aea1707ca2cf557737c4d19ebd863d3a67ceb19af66be8c8,"[35010.931648434525, 0.0, 0]",0.8625283619058578,40591.049749453,False,For,For
QmRYzVG6rhsRsKsUonZ6wpYb9AMgYKwynE4VRZDHmvMjHD,"[62851.39235572118, 0.0]",0.8592247519478768,73148.954581716,False,For,For
0x07517374fffad47cd24483a726df0a7af1f7297f2ec65095513bd14f58d3b983,"[70868.62520063313, 0.0, 8465.793630891812]",0.8552736891630788,92759.101369244,False,For,For
0x5d954fb7c6d61a3b1138387e7519485d422de3feb63af6b16f0f6baa677c68fc,"[0.0, 58579.05105161284]",0.8512456718813721,68815.681520171,False,AGAINST - do not use Resonate,AGAINST - do not use Resonate
