Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
QmPkXptBYoTdTtKovcg2wZLAspQbYTmCiXmLZUeA7czkNo,"[691692.9474711688, 0]",0.974225871847609,709992.382115023,False,Yes,Yes
0xf40af55f89c41e80f641760bbe482a8ef20caf6694d541cd3e515f722f0fbb87,"[34113.80652, 0]",0.8329013762883857,40957.798235392,False,Agree with proposal,Agree with proposal
0xb75c44df228ad237120e48e06f9bbe14ffcb78bbc07f34a2ee16dcb453d8dca4,"[1871.496970161323, 0.0]",0.5111385719728929,3661.427786476,True,"Lower to 75,000 Forth",Upgrade the contract first
0xc60b6e7a26bcf33a2585b6250e78006bbb46c5d5b424b5967986622095540298,"[1871.4969701613227, 4713.587770984644]",0.49683466391184233,13254.076696859,False,Approve,Approve
0xfaca3febb7c27059187b1cc8c20f420e88e9024469aec05afca8c38a0f8bc6e9,"[2093.140862117514, 0, 0]",0.46750046557763264,4477.302198044,False,Yes,Yes
0x5a2e46bbb862c26471738b3afe22917de08b428923b4c0cae75feabe642f58c0,"[2753.783592570264, 0, 0]",0.38091594200531187,7229.373436231,False,For,For
0x5f3032995b1a342f135345a4d53b1cc2b103a582b21478a6422ff4d16576b578,"[4523.296798570767, 0, 0]",0.35396495469828965,12778.939662053,False,For,For
0x68bec26956fd0b8dac85de9f6602ba173d4b856bc198ad328234aebdcbb9acfb,"[0.0, 3285.463944645031, 0]",0.3473536297191908,9458.556535888,False,Against,Against
0x6f77ae6e4f7eba8b372ea51385f8b2401d6b6d6e86899e65b71f587e15c19a3c,"[4523.762982570768, 0, 0]",0.3091635268793274,14632.266063961,False,YES,YES
0xc38c7149104a8395c2d01bdd7bc39b379e4f26c3392aebc303f3744b612b359b,"[1871.4969701613227, 0]",0.2762953558988363,6773.537557564,False,"Yes, 25k FORTH (~95k USD)","Yes, 25k FORTH (~95k USD)"
0xf56fe1c61c1d760e655c2193c6ccebe9f33bc487af4b8518bcce1fc93ccb3c33,"[1871.4969701613227, 0, 0]",0.25435787457014036,7357.731594998,False,For,For
0xbf72f6c8eba30169efdd039b5d5e9a83e098208bfbfad28b73cd9c3d6da23c7e,"[1331.35655568, 0, 0]",0.25279627529101784,5266.519667457,False,For,For
0xdcb74a8608fffbda10afb6af85aad359b05a5b177022c72e7eb09f82a742f295,"[3002.695276844377, 0.0, 0.0]",0.2366195286247813,12689.972354758,False,For,For
0x881a38885e1bf4d133bccbf4bec00b5b672cbe9082407753c97d5d951e207888,"[1871.4969701613227, 0, 0]",0.19864379678175817,9421.371321338,False,For,For
QmSPoUoeYMz5MeTdCJpSUxFV7as2GTYu8F5CBsyySVmPfj,"[1361.25587576229, 2983.7415908542043]",0.18019376003140175,24112.918593071,False,No ,No 
0x4291067fb0c0a92c7b1b7014e5be68de7ab366f9d6c2483aaff42f28057bf6e7,"[1871.4969701613227, 0, 0]",0.17678396350983233,10586.350328418,False,For,For
