Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0x881fdaecd6330a050ed5e63f17da98dda49c52d99c597ac71a6f6763b2552cc2,"[63780954.200333185, 0.0]",0.9997347347213732,63797877.562100492,False,For launch direct deposit module,For launch direct deposit module
0xf47d358020d4c236e4491ad7ade55b3ce2d624dd23f3a0d1d7777602a46427d1,"[63777307.55675216, 3702.8814211224476]",0.9997342004715706,63797967.907957971,False,"For, seed pool","For, seed pool"
0xfc62d59dbe9ead69ad9fc4591a3dc20b07374ffc0c399ec873dd832c067f3324,"[62820.47545522291, 55974247.90616748]",0.9997270360284891,56052368.658784397,True,"Against, do nothing","For, add timelock"
0x6245aeb35d76ccbc3b2ccf7f0c2aa14aab503580fb82d5bd056d97dc11c22dba,"[63781636.28714969, 0.0]",0.9997229268776215,63799313.362108529,False,"For, seed pools","For, seed pools"
0x8557fb5972eb43aeabfae63d98a75f129c55c6a840437e690d46eb85dd9dd942,"[56374141.52985817, 0.0]",0.9997169640408125,56390101.956454098,False,"For, seed pool","For, seed pool"
0xabf7879718eb2dbdd14a6ec5dee63dff253702cb4036cfe524b4422b6f464ba4,"[63787023.31982894, 0.0]",0.9997126223469678,63805359.554308534,False,"For, deploy w/ ETH, USDC, wstETH","For, deploy w/ ETH, USDC, wstETH"
0xfc64588b5142c3e95648c831651aab654edc22ec9ef4320dacb7f03a3b31419b,"[63783421.1194043, 0.0]",0.999700831982518,63802508.789469220,False,"For, launch gauge","For, launch gauge"
0x63d1050225f16337f3556db9a3739f574dabd2a87775632142411cc4302a18d7,"[56889447.610565074, 0.0]",0.9996909158726263,56907036.672336370,False,"For, add the 6 assets","For, add the 6 assets"
0xca5a670ca87979e9217ef1adf826dee23820e74fad63bcd3a6ee6eb12df0c6be,"[46703807.00920239, 0.0]",0.9996820573407301,46718660.864475168,False,Yes,Yes
0x5e40767fb1bb5cb941f102d174b4a04c3f661ad5780e3152c35d94c12bd01aa2,"[31716230.3488752, 14447909.919900935]",0.9996528963038821,46180169.576323427,False,"For, enable boost delegation","For, enable boost delegation"
0x4c0e5455cc1a04f798ca0a8a70cf2988bfa683be5807000053af6b9f516cb53a,"[63817751.83746397, 0.0]",0.9996510372911166,63840029.627137847,False,"For, enable flash-loans","For, enable flash-loans"
0x7608742713dfe8154ad958446a316b0bcbc64259eb753a5c095a197da7e59929,"[41105478.14116617, 0]",0.9996358809218939,41120450.881832570,False,"For, seed pool","For, seed pool"
0x29dcab8e6abbe2246c8120ff915288738ae8e83a48bae65dbe8965b5386d25aa,"[47087187.58223195, 0.0]",0.9996331860981221,47104466.155258231,False,"For, add dust liquidation param","For, add dust liquidation param"
0xb1b4d98c080ec587b2563a6aaa6f854e0a42ce6881f61bced62cf9fa8ae42898,"[54080652.261556536, 0.0]",0.9996283089420341,54100761.030660778,False,"For, deploy new strategies","For, deploy new strategies"
0x2023254ab67cd79f746e7794ae31c0f8b1b01ee2b957c4e1d3b2aeb4b699d955,"[43895810.115710504, 0.0]",0.9996259637994611,43912234.881202638,False,"For, move liquidity to KyberSwap","For, move liquidity to KyberSwap"
0x953e87256299eaf464b4a303408fd297015a9160dd0196dc6ec032c062f5c420,"[37683133.56834567, 16554946.327993533]",0.9996112531398061,54259172.979471691,False,"For, add cbETH","For, add cbETH"
