Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0x7e43228153e27e274d469bd172b273ff58cf0ba16539e2787a796a4b4a46c28c,[619508.4987645493],0.9901794826947328,625652.732248685,False,I confirm this is a test vote.,I confirm this is a test vote.
0x8e360c0038563faeceafc0670dd2b6f94de84b4527855b346568b8a86a2b2a81,"[2507620.3748323657, 866025.7021584047, 926855.0724565531]",0.9819361462104427,4379613.853756297,False,In Favor,In Favor
0xfe0e75af3b93fbeb3b86e2f4d000231910bab9d4ddbf1f787cb0b89f6af5d96e,"[140275.01696654322, 1486737.168591467]",0.9802260769889707,1659833.607524315,False,Against,Against
0x5840047edf5225ddf1ce93f68e6ba2eb361e11c69a47525c4cbc5f4e07455f24,"[1499868.0213937103, 9632.199681108967]",0.9733997233027329,1550750.616563876,False,In favor,In favor
0x564cd765ea535107efcb6c968eb5b80501ad4447a4c9da53ea4282e691cae20f,"[68325.69673483605, 1181283.6284857003]",0.9714238396808325,1286368.806463617,False,Against,Against
0x6ed3c094f8f519adee3a6c0a66e7b2b04edcea96f0082d555c5151a0f6440bdf,"[2016682.0245330061, 0.0]",0.9710444962019908,2076817.316220603,False,In favor,In favor
0xf9d857cb7749619918cbe11be7de57c72581a2d4953b5df9746a6ebeea9973c1,"[546306.7346696625, 1399477.703812759]",0.9688739722576548,2008294.674227222,True,Against,In favor
0x5d449bda195b43f274da4281785f3bc8b1223c4fc0a762192704b4b69887ca14,"[895230.2685116754, 81995.02157767283]",0.967872719009535,1009663.017560185,False,In favor,In favor
0xbff08fe1ba17ab497b261bccbe1ef87a287f6fe9b3d2c6a213c308842faa0c3f,"[402663.52194187074, 4789.0]",0.9657014912032307,421923.881917381,False,In favor,In favor
0x27c3987b794d4438fa1783108f5fe7d8e87f09dadd01050731dd1042eec61218,"[2600614.487194684, 15744.917081894439, 10083.683096484026]",0.9634150375929323,2726180.290827889,False,In favor,In favor
0xf37d7cd210947cb33875e66d85ffae3a63684cf9f6cc70d92f68876a3faaf337,"[758539.7844076789, 508352.233339351]",0.961695126881107,1317353.059545714,False,In favor,In favor
0x4fd913f391c9b5e19cacf09045f34c8167eeb2329efeb22e54ae3afad921f3bc,"[53005.64615584244, 1532669.3258143615]",0.9594522388234,1652687.760585932,False,Against,Against
0xe5a9380c7632542084f31ff43069f46d918dded38b6c2fbbc3837e3213c2d83e,"[1484221.754069186, 23985.63147099188]",0.9594407551448884,1571965.103058832,False,In favor,In favor
0x41e6ad57a942ee9eb6cd5194ccf1dc06d04a80f4c4f96375432dc8bc56b4bcdd,"[932585.9164502448, 5153.94041189374]",0.9503196704070034,986762.545344897,False,In favor,In favor
0xbaf724416aa6e56c5458e498fb044dbfe41fa63f59eb05ac829cdfa6ea4787c8,"[836968.6371577047, 83080.46001116]",0.9460631761917409,972502.809878308,False,In favor,In favor
