Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0xa8685d39ecb47f1ca8169bd83385c9c0ffe360625e3b683a2dd79cf8ea9ca048,"[2345574.9074016954, 2641.6247538314046]",0.9994242664471523,2349569.258012104,False,Approve Proposal,Approve Proposal
0xd12be85ed658f0f1d784c810f24143a181fb125a9b550c33886a7268a7cbc4aa,"[38217.82939106118, 2263775.3454264738]",0.9968696650819066,2309221.812490798,False,Reject Restitution,Reject Restitution
0x6441db7ab103020c379e6b12de08a0d08f5a6553ebdab18d4544bfc4d2688707,"[46439.3884745699, 1351681.5795309837]",0.9946225746032799,1405679.906836234,True,"No, do not implement","Yes, implement the regulations"
0xcc9dcdbba83c5bda480df88e925614c583f5cd6a5ed17a6cdb26f6484245bc97,"[32079.05657882495, 548909.2612225302, 0]",0.9879985977646619,588045.690667817,False,Keep current schedule,Keep current schedule
QmZShDa4wppLXhj6AeKSvF14hbDQWisGSxEpocPmVjKeio,"[272615.0451774867, 1910.1117750100423]",0.9841490054295533,278946.740217122,False,For,For
QmepL6GLxoJpKN3GAUTdoqRHi41FxbbPnHw1XxhgZ5W4Yf,"[218673.14192553228, 2038.2242871996025]",0.9790875177474958,225425.574539551,False,For,For
Qmb8SjuxGvUX3gTk7qhz2EUWoVkxBLqut5i1gNxTqPrCDr,"[94083.48731039515, 47.75420641595371]",0.9757037773930256,96475.225060950,False,For,For
QmVqKuZ5p9kLrQUWr8z2wAEvkYeVap1eUi5JSNXYykBods,"[275000.0722738887, 0.0]",0.9733597062666568,282526.665633877,False,For,For
QmQgwtAqhBYAvmPQRbBzALtRiZCUv4wkCxAPPbrB5u5ayJ,"[15813.446236715756, 6601.513057192969, 158554.21993774077]",0.9732612994875596,185940.999942085,False,2x multiplier,2x multiplier
QmWZSiB1VX8ZcM34AFUxf9cBU55YVRGGRpVxgscFXiyhgE,"[128604.1546177803, 1895.8986954025077]",0.9700179277568485,134533.650955258,False,For,For
QmRMcYZv6miFQ16YMaoopH6AVkZyseEBwHZCGSG6j5gbhW,"[9100.613668187396, 2641.253279754241, 1904.6166318475878, 978.7551237533238, 74898.76180306943, 9385.663070478724, 42331.678229775884, 3199.7604035269537, 77009.51050063262, 1754.5652299942558]",0.9613666224584212,232174.877644739,False,9,9
0x89b36c1571aa9d55e2c692a3524ec80ce4ef9668b3cb796da42e13c5b3462235,"[118109.83383228871, 0.0]",0.9605034192690125,122966.593832821,False,Yes,Yes
0x73f8baa4de0387402f8c8b092e579379d705a7441f5db91fb9a92a8feae6f356,"[76665.62990821528, 0.0]",0.9587791570177626,79961.719387685,False,For,For
QmdDuc1jESvCpuqK5ukSqhxonVptgz2Z7hkhboLWLoXEfH,"[83341.29954477349, 48933.53635639873]",0.9578161562647486,138100.443426442,False,For,For
QmUFczshsnze5yBQ4jpQ5hNafYrAUyqH1cx9ozEtVwBcat,"[119953.0644625921, 0.0]",0.9541632096585356,125715.457532176,False,Yes,Yes
QmdJy8eCDCLzBvRMnHNxbDzZ3B8oCP6huju1xfkfe7YM9A,"[60320.721965711506, 57666.83135327747, 67335.03477769624]",0.9491320108303339,195254.807531524,True,Abstain,For
QmRq2PbmZKNbV3AYsZ3eRJSJsPU5bnCPnj1fiZ7Du5zL2h,"[34729.220441783196, 670.3436175332279]",0.9464688093926661,37401.722812220,False,For,For
0x8c814efa246058e85cc0166663c26918a4e5eca90308f9b77a4d8b97d54d9570,"[261571.03773047187, 0.0]",0.9342040936205814,279993.461296806,False,Approve,Approve
QmVXNiEDbB6z3AX1FhfHwZqV3aqZDVcmnK8dUzSYVJ36jZ,"[168051.62278740862, 1386.2681994021852, 4890.778425919257]",0.9312708548654178,187194.379059488,False,For,For
Qmcsu35g8ueb9ha7EiVVqtHjhVkmnsZvk8osimGSnapHZU,"[97715.21411363591, 53289.257359219926]",0.9271695583757046,162866.080005256,False,Yes,Yes
QmR75rMsKVupcfq3uvN44e6uSy3EYmxqngNeHMcyADACz1,"[88842.17467294823, 22114.971832128347]",0.9245400091897488,120013.353021161,False,"Yes, Deploy and Seed","Yes, Deploy and Seed"
0x6740a67adb5b1cb5f81fd281e8bfddc1cbfb054557300e0aa7ad1ac027811f67,"[332406.4477481722, 64108.99259774709]",0.9163319012537242,432720.327430931,False,For,For
0x45aefdd421c964c15616274f90284a3d7b0f05344221094afb935820091f520a,"[78706.86907376596, 0.0]",0.9156667210465456,85955.803858209,False,Approve,Approve
QmNTK2DVqS8V6iqeqNiwJjCxGfhyixxPNgGAfUePCZ631S,"[355373.3867050727, 2226.565812463604, 1656.2540064905475]",0.9120682233950392,393891.813472844,False,For,For
QmRHAp6Xxr9y7QzFs87wBf9N3UUWv56L88cw7Uwk5rkN4B,"[140168.2919476452, 0.0]",0.9092849934882128,154152.210749602,False,"Yes, implement","Yes, implement"
QmVCY5XkXQmcrABiPkXXvXSnFtXhnQs8vQbTPg2SLoBVr2,"[77624.15333360815, 95446.58047764869]",0.909270901436093,190340.121451056,True,Against,For
