Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0x093bae9d392fbe1dfced7f7aad0dcc31d53718971a025bf26541fea000a33016,"[2190861.543146835, 0]",0.7899678667146203,2773355.266029187,False,Yes,Yes
0x7adac9616ab7a4ce0878b0b39e74124efe8a7fdaa15b163909888a5e9e1931c7,"[766422.9299120164, 0]",0.743603708138104,1030687.342631802,False,Yes,Yes
0xd7de11406e73a9b3c68e54192b9cc67e9ab04dc52a443012be23b86809a5337f,"[2403975.3448682753, 0.0]",0.7280015430962335,3302156.935882342,False,Yes (Participate),Yes (Participate)
0xfaa56ae4b379a4df4dfd5f6026745f1d5271d69c0521f3f6ddc870e1eded8dcb,"[2374163.5466816155, 0]",0.6918996894380387,3431369.579902417,False,Approve,Approve
0x2c6942e38a39a40f07cc7ad78c7052fa63eb8274a1bfc8168c29d2dad6700824,"[1323086.274681689, 0.0]",0.684529565675275,1932840.217612062,False,Yes,Yes
0xee75d5a014e497b98be7dc9b88f2e238717490a1e48d51f07c8e98b0748060d9,"[416319.8875486088, 1477261.065246825, 0.0, 416319.8875486088, 401201.12271843303, 277203.2623563865, 0.0, 0.0]",0.6741254970215222,4432861.890882399,True,# of Fragments Voted On,VP Spent in Each Round
0x92f5a82fb5c0a632fa2c7e049ff7f1240bcb190199a288fbec0cd99413230348,"[2815619.81379746, 0]",0.6644389500393767,4237589.945066582,False,Approve,Approve
0x29d669175eddfeb4fe3e4117bfd6f9bdb223d079a91baa7a4306d612d4d884cb,"[363862.2555392261, 0]",0.6591649043895788,552004.897585046,False,Yes,Yes
0xd6e8b8e5cc50df25d8c51602d0481bd1f4c04fdf7732d21a884ccda96d50e447,"[253734.96789336746, 1481164.8714562978]",0.6581268979565755,2636117.509763500,True,No,Yes
0x9a89d58b2a2b53905672332f90743400981b1c0473bb6a77024aa4d5bb5a5b71,"[444734.2856593411, 0]",0.6425312754465601,692159.747944176,False,Yes,Yes
0x72382a2c9b78301261e360f0f27440fe90fb3cdd21aaeff6c9f3fda4799839b6,"[1466959.9131677481, 0]",0.6001579506091373,2444289.726860804,False,Yes,Yes
0xe425b6b18b9c5d14933cd5d192118516790aa52a30b3c9f1613274c8f2704efd,"[1487826.952099219, 0, 0.0]",0.56545749782175,2631191.482703142,False,For,For
0x317b6451fc0bfe535c3424673ef7b18692bef8113d08cca9bdb755a2067fcca8,"[2430797.991903501, 0]",0.5420289327141302,4484627.748064365,False,Yes (& Accept Collector Offer),Yes (& Accept Collector Offer)
0xb05ea0621c66439f31997fdd7a0644d17a3ec02ca0883d9108e684b17cab9d48,"[1601158.9417955845, 0]",0.5391819255353066,2969607.967117840,False,Approve,Approve
0x1413953f21e944734e369f716f06495bc37dc2177ce5efebc89823614e979b91,"[810133.8580498439, 402668.4844656962]",0.5339410037336745,2271416.381275854,False,Yes,Yes
0x03679577eedb6815f6ddffe0bd7c515066cfaaec94aa3594722973f8c621c711,"[452092.82356532407, 0.0]",0.5326497837180988,848761.864521081,False,Remove 10ETH Reserve,Remove 10ETH Reserve
0x9ff6f121ad55d1ef157ad08efda32cf4cabbbdc0a028393a93c7c333386ab2be,"[400212.5619816134, 0]",0.5253565976109117,761792.207048702,False,Yes,Yes
0x389357c8ed74191d5981648eeeb7b65cfd2cf6c3f87b909f3613f8017d78b48f,"[238934.38830988167, 0.0]",0.46046643419005795,518896.428857312,False,Yes,Yes
0x480e548ff0071d7e1fa8f3221b4738d1b63d5ac54f0268bfeffb085b16c91dac,"[552685.2299988333, 0]",0.4302788182235783,1284481.611901358,False,Approve,Approve
0xda645310f6d31ffea855cdb23ca8b2adc9f7d6a292e61715f14e0bbb5d3ffc1b,"[338868.90406853065, 0]",0.37705928629065477,898715.179255166,False,Yes,Yes
0xa93c096758f9114738c7fa4f540bd25044375c511aa5998a828c64d8b872beff,"[530004.9627959398, 0]",0.34161517736121966,1551467.844285850,False,Approve,Approve
