Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
Qmbr7V2who7JQcVB4SMwuGRP2KHeUtGgSx4WMGPRQt22Wy,"[0.0, 36.407902509265604]",0.9967162993525333,36.527849031,True,no,yes
QmXWXkNcSegrStn65nG8ehfDSi7jCE73oXtJrs52kCRBsX,"[143783.00781518023, 0]",0.982966415663113,146274.588352221,False,Yes,Yes
Qmf5AWW8iApywEe8pM6CvBKfDdFujEoMfQjEDKLRmT4gsU,"[5037.837244266031, 0.0]",0.9589290807769145,5253.607743530,False,For,For
QmdneByVKFDZnrQV5wbSGBYviHPMmZpyfm5m1oMZpiNwgv,"[74.0932497159038, 0, 0]",0.7149119656708938,103.639683309,False,For,For
QmcQCABN9meH5eRRYg2j7Zy9ASR7K6MuWpnKU3ZzimiFvS,"[196165.8578537214, 0.0, 0]",0.489597791805531,400667.366432157,False,For,For
QmQvfcsYR6EMmZ44STFBRbhKfEvv6ny4fXhJLd7fhjrUPU,"[141083.94399528197, 0, 0]",0.4865271848952291,289981.625642694,False,For,For
QmZEAhjid9mBNyTaBc6Dkm7iiRc4RJcJ7LQmGR6HFuKPyi,"[187327.45313353, 0, 0]",0.44641276954087783,419628.348279980,False,For,For
bafkreidzxddfonialdvi6o6qsownmxrrzjickpw2qhvciv42z2p3giwd2e,"[261335.53553571913, 0, 0]",0.4451138192921504,587120.696345291,False,For,For
0x88cea1cafbec320fca80569e6ce25e70493110e84922302240a409378313b392,"[190561.25721003045, 0, 0]",0.40940129931887603,465463.244809112,False,For,For
0xca3ac8f6fc42de9d8a49be08a1aeead0750d2c806332c32d3764fba4a01fcf88,"[190561.25721003045, 0, 0]",0.40940129931887603,465463.244809112,False,For,For
QmeeaJcheqWkTsSzPMdEFjJoaAKY7bNChguZxhjebEdui1,"[169310.71359230496, 0, 0]",0.39129830065060417,432689.621474960,False,For,For
QmZveVDDYJmeAFFWmJ9XPsJwVLc8cTkRepfj8Dxem6BLfy,"[140754.7170020121, 0, 0]",0.36479562279950883,385845.410977891,False,For,For
bafkreig6kkim5eviff6uew3eetmms4lgu3wi4nqbwf2t65nd7zo7gcvpwi,"[0.0, 0, 147496.55343727698]",0.3261930263507105,452175.679803449,False,Don't add more rewards,Don't add more rewards
0xf3f7ed5a66031d8dc14786827655d030005bd76ee7ad5f7d6c5cdd45d0156fe0,"[147188.4897043258, 0, 0, 0]",0.26908422726754233,546997.834837717,False,Migrate rewards to Uniswap V3,Migrate rewards to Uniswap V3
0xfaa764686e01a1b4e79b03f68a978cdfedc8710c48b140f67428f1f4d00165f6,"[164184.54735611554, 0, 0]",0.25117629764020727,653662.582411731,False,For,For
0x5eab9a213b98dba986bcaa1490cd5103f4f0ad1010fc8f2bd6588aa896b41e50,"[164184.54735611554, 0, 0]",0.25117629764020727,653662.582411731,False,For,For
