Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0xde111b732b529e74de8b50b657dd8445a3619baadb3aa4aa75345bb4e27f760e,"[27559391.42957876, 0.0]",0.9690888323561623,28438457.352328721,False,Yes,Yes
0x7344db2992fde4023519e7fe84ccac8f931c3ed3047e623223c05436ce25b864,"[30650325.24783805, 0.0]",0.9562293893469206,32053318.575338300,False,Yes,Yes
0xeecadb702fb5b77080f88d3cf653acb20f54b06e63a50045cfd8ec1c3babe528,"[14471031.48680522, 100023.0471056266]",0.9555126898259209,15249462.083612369,False,Yes,Yes
0xc7aae40366d43e4b2b1f6d9c6c92d01b976407b6ab47bf3ea80e6c9458d4247f,"[19088448.049327184, 0.0, 0.0]",0.9548780076733746,19990457.310706619,False,YES,YES
0x55018965c4c36be46fdff7b491024efecf111138e710286c6e95809393dcf0d7,"[16393719.123480828, 0.0]",0.9529367294178446,17203365.782212909,False,Yes - Biweekly Claim Period,Yes - Biweekly Claim Period
0x16c69eb29233d37c3c991d430c930b51817b3c352494d2571ab0092a0dbaa130,"[42990506.388492726, 200066.7669167169]",0.9529278561944023,45324074.508530617,False,Yes,Yes
0xea67d6103c68fad720ed3cef4101da54d9982e186507c6ab7deaaaf765d3acab,"[17136037.049887758, 0.0]",0.947715899568792,18081407.157656219,False,YES,YES
0x9a920162b50f4bccff343f1a414993e476e9c754637823cde88d328a5fc1426c,"[17162882.161948223, 431652.68562660384]",0.941627641818483,18685236.144508291,False,Yes,Yes
0x2253dcfaa18499ccfb4832f1b7e6075872ff1a592b32860ab73b0c45e404d169,"[17353672.19035659, 0.0]",0.9361149846879065,18537970.734591082,False,Yes Ser,Yes Ser
0x718ae59c6d889dc4f056755b8007e263685b0d63b1378e401796a3c23f3dc9b2,"[8862002.927210964, 0.0, 0]",0.9333383334848557,9494952.268940274,True,Yes,No
0xd4ef0fa4a5c77d74d528ee9abb02e0c63ec0a29b2889a1bfe6d4a5c8a2ca53c1,"[17861400.705965735, 430000.0]",0.9308244478244564,19650752.350474682,False,Yes,Yes
0x0b42f0eb946c293cdf240251a8d3371204fb6bdef47bea8353cc2890545b41a6,"[13224114.196089307, 331206.5747883444]",0.9282418989798524,14603220.115117719,False,"Yes, use dynamic chip allotment.","Yes, use dynamic chip allotment."
0x7a25578db009950c7ffe70f78346f133e14e30931bc955924f9b36a8fb60e640,"[6641918.757082702, 0, 0.0]",0.9242953094778882,7185927.147931281,False,Unban,Unban
0x2fdb1be1406d0db7b91cb65c963fc4dee80ec39e7a525382d28ca7850ead35de,"[10658727.77056504, 0.0]",0.9184954411178274,11604551.632388240,False,YES,YES
0xb1284e53f4651b846ed205fc90b385d542e44f764dccca4a4430ad8c18efe668,"[26406654.43297419, 0.0]",0.9161899527533958,28822248.436162319,False,Yes,Yes
0x07ecc700b343535857418186e09054d4aa524d958931970a65a1ffa54d5bee51,"[16750024.879875055, 0.0]",0.9144888679034193,18316269.850585051,False,YES - $ICE,YES - $ICE
0x92a8151ea53d6460ef2e753b86c01ebed1ebaad5be2bf66bdee0a559c34ee385,"[25763093.15888609, 0.0]",0.9114347978414459,28266523.529605091,False,Yes,Yes
0x025103bf3c4d6a734cf0d44152119d9df7d11776820f23179bd8c5b9c941caa4,"[0.0, 2328487.1747590527, 0]",0.9111938179981662,2555424.684371310,True,No,Yes
0xc0c19317ea06cca396cd34cd0c8cc0c9c1453a88e9dfc02c0f2b5b545845d7ce,"[999999.6726195099, 0.0, 6641918.757082702]",0.9095097694684141,8402238.971186338,True,Abstain,Yes
0x4e4864aceaf577c92aa7fe5652a2cbedc2df336c6c55fd6bd21537e0d5c546ea,"[15917740.498242434, 0.0]",0.9067008351709996,17555669.831538670,False,YES,YES
0x7da4fd3cf77255c723ab28ff6709614946698e1c740520eecfd1e1dc5533f1ea,"[24067623.986214932, 118342.4801857]",0.9048959913101867,26727896.574480452,False,Yes,Yes
0x79041cec35642302e6cf67b98b50c3951dfa2ebf079d136cd724bf979ce3a426,"[10412081.920534281, 0.0]",0.9047261530122341,11508545.304971950,False,YES,YES
0xdb272d7d1fab12bc3a3f9610a83b01fb4b3d0fada3acfb1cd07bea2cca3f6c8a,"[10673214.481799237, 135177.62882122665]",0.9041211244211991,11954584.201911870,False,YES,YES
0x5d0c0174ee2a1b16064f8580e4a098405c13cb9aa8a03fb38b43d3a864784dad,"[0.0, 2328487.1747590527]",0.9017139129059564,2582290.393252367,False,No,No
0x4a98e7e1ff3786169d031b70ee3f16a9e3d51faaa56fa039c57b4ef9d3d5fd0a,"[2282984.3274602336, 0.0]",0.895582821618084,2549160.471094653,False,VOTE YES,VOTE YES
0x060e654ba6cf44cee8ccccf37b619b95fe0ea4633ab175c7ab819eb33b169a7e,"[9454890.528839603, 0]",0.8954961985564559,10558269.866562171,False,Yes- to ETH staking for DG DAO,Yes- to ETH staking for DG DAO
0x6697e5875950c68311e3d35865d06741b40c60beb744a8b22ac930e8a8c6dc52,"[11136168.539562214, 0.0]",0.8940592843374199,12455738.377366260,False,YES,YES
0x782d421e1eb9a99a6425999feb0826eb079203a7ac340277b8494648022bc4c4,"[7012005.949309408, 201524.01513751582, 0]",0.8930157607602519,8077718.536911177,False,Yes,Yes
0xb4efb2d6e3bd37c6a99ddafa29e408fc23f9d6233b14f523efcb137bb6a4d03a,"[15000000.000419937, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8889388869820641,16874050.871308759,True,6.9%,9.9%+
0x29549d5daf355f8819e7c5dbf5d007353861842c4002cf21baf5de3c8000fce3,"[18801845.485006638, 0.0]",0.88488871502288,21247694.953958690,False,Yes,Yes
0x20a5728dbd4760ce89937064bd0e5b1ac9cc25f054a34e5358d04a8cdb613e5d,"[0.0, 4888250.381766234, 0.0]",0.8742245888259031,5591526.987740333,True,No,Yes
0x6d64a8c786cb8f1eb32121d502fb0976e31f64c1ceb9b46c7bf5747d2f30eb28,"[6641918.757082702, 0.0, 0]",0.870842024362281,7627007.621671209,False,Yes,Yes
0xef6dabfdef0d1f357313209e6ca8352b281481bfe99a181fb45a1d15767eadda,"[5129289.669814825, 116960.41475947098]",0.8702446029444376,6028477.587592983,False,Yes,Yes
0x48d7b080906a8cb9d0a23a7300330cfd7699758005cc6dfeb7c1a3309c0136c7,"[16976076.60903854, 0.0]",0.8652512556237227,19619823.142355580,False,YES,YES
0xe134470056c97cbe49e9c283707ae2ceb9814e7400786f9069f8fe8f4175f571,"[11628627.37023038, 0.0]",0.8581938432357579,13550117.449439490,False,Yes,Yes
0x2e09f4ca45768cbb1e293d362023ec0490e12607e7d3f288dfd2eeb6df6e9282,"[9649132.482653433, 0.0]",0.8577853014450815,11248889.980275800,False,Yes,Yes
0x7334319ac3cb229c180e2ae3f2f63f30c47d2e22e4f34f2c4d7b4bf9b82f02bd,"[11709474.71433428, 0.0]",0.8576207877325245,13653440.870169580,False,YES,YES
0x9f330b598e685a61b1f22ae5ea74a3633d841855cb7f9ae55b07a92695a39f82,"[9649132.482653433, 0.0]",0.8562574967291527,11268961.170573670,False,Yes,Yes
0x93538ac66dd715fbfbd74cc815aa7fac8c3b3bbd8ad8dd8f96e64d833b241876,"[0.0, 0, 8867002.927210964]",0.8520324695986015,10406883.826139010,True,Abstain,Yes
0x57bcf4d433a88d766a260951e51c43212c401402e8291b8a7f72a974c27b2a1e,"[16447876.563445335, 201524.01513751585]",0.8503770954599904,19578844.100424379,False,Yes,Yes
0xd7f2b15e0eac305a5e548dcbde9688a881828dfcb56e8e7d9b96ffe9519a7e4a,"[1134175.1590195212, 9674002.173916232]",0.8485999205857508,12736481.669094840,True,No - Don't Do Anything,Yes - Support ICE Price
0xb92cee8af0ad8312d18643cbc44422fba27bf0a88d6bda4c0f525d7f97d3ed9c,"[4548571.344887316, 0]",0.8461603957569025,5375542.707619345,False,Yes,Yes
