Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0x8b848755b62df8df065e39d8b17575a54564f6911c9816472765811abb5d788d,"[1305.52775942416, 4004847.239929493, 316904.5825503048, 558394.1524521208]",0.9994861189398369,4883961.277890621,True,no you can forget about it matey,yes I want someone to pick this up down the line
0x7a6a819a0742f194656afdcd77841609329738b469b92962e0dc5de77101fb67,"[5442319.696556213, 35569.33510092196]",0.9993815504029848,5481278.926400295,False,yes,yes
0x187559b29db36221d302ef49a2c8a8e92d404c6c01fe6847e8d0969f3dec97ba,"[4581098.614581871, 577106.2396355268]",0.9992959006766327,5161839.301777110,False,yes,yes
0x86687461c985cb876c5e3ea129b8e19e4059eac02918583d03588ea9e1580d4d,"[4002000.0, 1166021.24602791]",0.9991988552220877,5172164.898927187,True,yes,no
0x4913bbabd5469f15ce9fda886a8fd78f9faa81742b50006a59f918895f26863d,"[6915486.348061994, 11246.553231335398, 6511.0495, 834191.1808912654]",0.9989960018290699,7775241.459888862,False,This is a good idea,This is a good idea
0x3262d5ae7d0f8fbbb5053033a1441713a5b660d74cc0483b68c619bc0a1de310,"[0.0, 4869486.342080777, 0]",0.9988788648829887,4874951.821761892,False,no,no
0xdfc9d87313c293cbde71adbed9d585ccd79d28ae1dde555f674613920c8856c8,"[6498.38425178834, 1122668.0743977013]",0.9986156529857447,1130731.783818342,True,no,yes
0x768ee01f696cbdb8f94c2e62ae2f42e034adbd3c2afb263c3b9e93cd30703ea4,"[4002000.0, 1171711.780596778]",0.9981815755714945,5183136.923394567,True,yes,no
0xd28d40bbc3f1b3417d83e183519c740cf27aa3072f7230c52fc70cc4ae4b5eb9,"[55018.50237104497, 4842349.539461622, 234913.27707433052]",0.9980691444341184,5142210.184061826,False,No,No
0x7f6fed8c7645d1b793526564104e4f79864a9e30ae284029f752b6297478b4f5,"[166209.6386304275, 1392896.0012876112, 0.0]",0.9975411870597585,1562948.638254712,True,No,Yes
0x7acae7a48013a123bf8ee2f63b9c7fd4b0b45d665169539484437c2564202cbf,"[10855601.700142602, 4002000.0]",0.9970364085282297,14901764.442157710,True,yes,no
0x24be3be9bd309b3fc0279f9abf1ee459fc1be9dd5bea879fc6878791ce9f238d,"[7248907.708747547, 4145692.380657988]",0.9966020687686491,11433450.166809430,False,yes,yes
0xc7ca021e5f308fbecdebc8e0cb8c3b9f61ee7947e4823f36731aecea080f16e2,"[8543787.98523837, 65198.9180572299]",0.996496094206256,8639258.049629346,False,yes,yes
0x4f1ef947fe0df998654b01be4618c2d2447a45aa62349d513f53013eaabd84b7,"[4998979.935564352, 4053264.4335003807]",0.996431236696471,9084665.389531733,False,yes,yes
0x5312e06024764339973564928518cbb2dc911097d9bbdfe7c78af762eec3b819,"[60115.7369941974, 5139662.1441359045, 39810.46071316331]",0.9961423445410614,5259879.143333904,False,No,No
0x9b79389860ced47eda4f775cc4060c997b6555ef6f4a0c878ba0b21f063120c5,"[421830.23787035025, 4655.417903198702, 0]",0.9960543687626295,428175.076731364,False,We should diversify the DAO's treasury,We should diversify the DAO's treasury
0xc2d2d66a6bf68d5d29b5c5c695c528cf3a89f9b44244cca6d821a74a786b73b8,"[14426.52051697363, 593272.9371360304]",0.9960252873648211,610124.527320778,True,no,yes
0x526eab141d72561145413e2d045719e4064e8458b0d30fdb7c5c6b10abed204e,"[2287550.2790770778, 4703433.838730211]",0.9960233055241282,7018896.123247325,True,no,yes
0x8fd50a2c40cc7280d0eb3961b580e0f84277d6b3a99527e2254b05ce3d251c06,"[0.0, 6731052.099012794]",0.9959405546130476,6758487.811180665,False,no,no
0x6cbc3fab0f31dbd8fa8aa8fd71951b36ca8ff4d6d0f367b71f9f2ebbef9b35e5,"[0.0, 0.0, 178854.61173933663, 865824.6784888639]",0.9957078807714357,1049182.506639220,False,Invalid question/options,Invalid question/options
0x29fa10653201fffbd8ee3f1513477843152028e1bf1c449fd4ecfccb61dffbc3,"[1415770.9404869652, 0.0, 0.0, 100787.88074626113, 4304683.442297048]",0.995691620228532,5846430.908190408,False,Invalid question/options,Invalid question/options
0x79b68a785e8f8ad47855ed713f5ca3b259cbc896be23902eede65a476a8379f2,"[0.0, 302348.9759993614, 929354.0397820002]",0.9956795291194215,1237047.644105608,False,Invalid question/options,Invalid question/options
0x21d3a6528df036404826be2bc802783b3ca159ce9406b1696539ae5fdbe8166f,"[325952.78850241733, 676883.3959283766, 9364.50282589451]",0.9955977728816985,1016676.327355508,True,No,Yes
0x96c08fae5f96cdcc7476f15e7b6b585941f7f4d25db95c26e4bc2ed6873459e3,"[13591.586393407657, 0.0, 110554.08445302684, 690687.293270266]",0.9955768177225685,818453.131502872,False,Invalid question/options,Invalid question/options
0xbddb5c2fcd913d4129a16013a9658d9546799cb005e9741bbdf0a858666fb7ac,"[5694348.939383298, 4002000.0]",0.9949777074267627,9745292.650284847,False,yes,yes
0xe353e7896d9fce4ce254bacfa42406bffe89a2dfe4f410350e181518042e7ded,"[1147397.9254583844, 0.0, 1647619.4605544386]",0.9948192098558392,2809573.195131459,True,Invalid question/options,Community Feedback
0x376604a5525d4920c30ef0397e75cd9ef390f53253d5aa6275a827a4541fd912,"[70832.43478663047, 6503543.117677429]",0.9947848232202834,6608841.830921501,False,no,no
0xdbe9b2df1d00c0d264bffb3f10f1332a82d8a8a70c1210d6108d941281bc756e,"[9759802.338873727, 0.0]",0.9942447739260921,9816297.349327812,False,yes,yes
0x16fa26560c26db843839bce27e007f284337320ebaba59592b14263fb9038795,"[2695.006, 0.0, 1332333.0285564782]",0.9942361560311936,1342767.537126856,False,Invalid question/options,Invalid question/options
0x9f99e7d3df5f7e6ed4bc8512542756ac43b931b76f30d65fb9742f06556376a1,"[46401.59604130001, 5953904.280364453, 339285.4616774068]",0.9941548065023554,6376865.349962113,False,No,No
0x7f974b214a6ae8360f72d5c43d11a0284205c10068697f8f41764f0734474436,"[0.0, 0.0, 0.0, 0.0, 0, 0.0, 2576626.2623034865]",0.9938803554110718,2592491.388199122,False,Invalid question/options,Invalid question/options
0xbf2891a1e4490c0ba14e3897c239de06483a2758dff2c8769c9f7ce9f4dfae2d,"[3657224.7157918694, 0.0]",0.9930578718055804,3682791.123887165,False,yes,yes
0x616af9c44c749e930aa5bc274e9ce1879cba3716c0bf829f0cb19c8a27d173d9,"[4955473.950647612, 0.0]",0.9928892362355195,4990963.513146740,False,yes,yes
