Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0x4761ad8b032b70e1232e3054a776d266293d1483f89d24b35f723fb158c83957,"[12844.755339084051, 0, 0]",0.9949893488539657,12909.440039613,False,Yes : Deploy Euler on zkEVM.,Yes : Deploy Euler on zkEVM.
0x93a139005279c84382cd252417eacd03edfd5c58e6d73100a754963e6ee5f457,"[412942.2480538819, 0.0]",0.9945558254763334,415202.683927880,False,YES,YES
0x0991c387be56b5c200f2ddbf45def5055c77e8dfe8fa8872c53b4ef19fbcfe53,"[424501.7014886026, 0]",0.9939478422562501,427086.496334645,False,"Yes, by 3PM EST 25th Nov 22","Yes, by 3PM EST 25th Nov 22"
0x432e4d3993af3642550446163b862a327b87a14454b00d5f30e974382dbefaa5,"[395739.5843581192, 0.0]",0.9873221496698439,400821.134713176,False,Claims and self-delegate $SAFE,Claims and self-delegate $SAFE
0x9da517e2a16214570748cc1e91adc4c9387bf25993c565e54376bc96e56559dd,"[363417.17588016595, 0.0]",0.9798253141201135,370899.966190928,False,Implement this change,Implement this change
0xdbd34a558a1158b460ae54779bb8657d8f39512f5d116b770ebeb269d7e222eb,"[93985.60024062247, 12335.917600956802]",0.9797289196549651,108521.363112383,False,YES,YES
0x40874e40bc18ff33a9504a770d5aadfa4ea8241a64bf24a36777cb5acc3b59a7,"[553725.1507176388, 0.0]",0.9640523738755744,574372.477805968,False,YES -Implement the changes ,YES -Implement the changes 
0x5b72a4151482f55ce7c1993a09477b240fe8959f3aa6eea14564b67a077957dd,"[552884.2112624097, 0]",0.9631428385824001,574041.761112164,False,Yes,Yes
0xe91b62c43a0f9ff457d53c015f05ce50f729cb51cc139d01c4d4d8302f4c19d6,"[12761.171846225703, 356485.41461071925]",0.961527185379777,384020.953407680,False,NO,NO
0x39151cd194e0e8b6347e3bd34939c7619cc39ea37d31162b7aa02c135017f0e6,"[635471.7475735857, 0.0]",0.9499692308038796,668939.295050471,False,Yes,Yes
