Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0x55918aa62958c77c7b6715cb1756f121bf3bd86b91d767c932da38823af50d4b,"[8027.113617176561, 66675.17275076716]",0.740051569783924,100942.001095619,True,No,Yes
0xf61dfa674f4d908010fb56156a59b58ab824fc7f4d2231977a952bc7dde1b6c2,"[81929.24714630432, 0.0]",0.7359019850005479,111331.738215441,False,Yes,Yes
0x37de6bd542e6bb95ebb6af55965f5899f7f4a1a28a47afd2b96bd135d761d7f4,"[2746.924496803, 2425.8272429246153, 10717.708499046756, 73296.66357460499]",0.731287522027988,121959.039538987,False,Illuvium,Illuvium
0x74b62bc97b367af72a765d77e9e4d552d6a46f783bc1e3e636b4c4f39a6d7a3a,"[78683.49483696873, 0.0]",0.7287659874718737,107968.121714799,False,Yes,Yes
0x6ec98d7131236f4ce2e10399eb6ef7c0a24678f79b696c8d33647605f163ec72,"[55427.879216239045, 0.0]",0.7163349445302717,77377.042177644,False,Yes,Yes
0xc4e6334df19c8bd4d05ebb0088f1e3e28551eadfbb26dd54f0cfff626bcc6436,"[89576.61044647178, 0.0]",0.7148870472638336,125301.767306204,False,Yes,Yes
0x4475e8a0a56212d32c7e8843833667bd26a905c8cfe9754e219494fd528dc758,"[40324.271285467614, 53066.375625151355]",0.7124594630825579,131082.049926814,False,Yes,Yes
0x205c78d0e1ec78bdff0f96df53618e02e379ae8b2d7c73616e749cf8661ff90b,"[69753.77303613094, 0.0]",0.7124109255804882,97912.273003525,False,Yes,Yes
0x754a389ef0773f86cd4bb45d0defe05a134c8c84a2fc2585cf31457ff3fe7bce,"[27230.805407966138, 106685.674827129]",0.6956762015432821,192498.291501155,False,NO,NO
0x32aebd2ef634eb6dd8a90c4344eb58a8c44d464e69ea5ebebb9d172bdafce5ae,"[64314.989957203594, 72851.33437052142]",0.6797327863821903,201794.480236534,False,Yes,Yes
0x702b02283f817315b8ef953057352b380882e7875600c624a905648b6b75403d,"[81178.6252689139, 0.0]",0.6688222785172466,121375.480267918,False,Yes,Yes
0x7bcf970099a36cbe144016b1d6a6f59c54e7e06d7e5bd7944ae4f2c198369829,"[13994.412972950002, 0.0]",0.6392378774057103,21892.340031140,False,Yes!,Yes!
0x444c3ae9ddad2c3ddf4cb3d68b65c28c906dc692146c56e3472ab53be5bb080f,"[27956.496943819133, 61817.76833032509]",0.6295984570001898,142589.716153191,True,NO,YES
0xd644cd99f834d86684512be785fe3e95ea5298dc662af17bb7fadab4c1d62172,"[23981.06632189298, 6481.036982132]",0.6020492280582871,50597.362946998,False,Yes,Yes
0x220cd36b2a42dfb060aa183ac2507200f0000458a9ea71a7b1a8508ae322e59c,"[24536.19299870961, 3683.7266379520006]",0.6013469601381395,46927.849490050,False,Yes,Yes
0xc07ff32d6f442db33028798638af9a926c7d2c857f5a76aa408ac001f4e84db3,"[23495.184520839, 0.0]",0.5953976333549476,39461.333409151,False,Yess,Yess
0x127ca2e1ce987a1c4e644bcb2b4a914247ccbcf5d1621d7ce78dc4d55a96d4dc,"[9150.852420919278, 0.0, 26283.087075338]",0.5893700148737491,60121.720823968,False,Travala,Travala
0xaa8e8f2b661205a64fa138cab63ab1879aa5f1124b3afed8d0bf1469dcdeba95,"[0, 948.8756072, 3336.8704294189997, 16072.14595343859]",0.5678593390082183,35850.237183055,False,"Yes, 10M USDC and 10M DAI","Yes, 10M USDC and 10M DAI"
0xc27407799639513c278d7a8317390b600ea69d7f42cc27b908d2c17208827d8d,"[53956.627914199606, 0.0]",0.5658562386238665,95353.950758623,False,Yes,Yes
