Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0xdf8dbd41184c7c401ee326c62ca6e253a8fa856b825b7d9e9311ce0faea4a5ef,"[12960574.180947237, 10677.532957239824, 87717.24358408617]",0.9900164521930694,13190658.527502781,False,For,For
0x8131ad63b8bb249bd1d146f3e1412dcb98e75f89c3b2e87e28970fe453c43299,"[11923862.679339083, 0.0, 87367.7591444203]",0.988627051877802,12149404.991163580,False,Yes,Yes
0x6b5136469fd7b1478c0e10b95e30e8645a1cea8bb49cabeed59a312264b518f0,"[13366384.657650102, 6729.757727668588, 0.0]",0.9864928061399789,13556220.919344630,False,Yes,Yes
0x77dfa74f2fa447137b13d8e5a6faaa7c9f2d1a23f86e837fb6e0aea84902c82f,"[13371126.982221516, 6985.847465385696, 0.0]",0.9862029039684476,13565274.220805701,False,Yes,Yes
0xf1bf9327ad089d25e949b044d1673501acbeef96f1657d0e79b89fe365983595,"[13375900.370554667, 0.0, 0.0]",0.9861684910605311,13563504.098747009,False,Yes,Yes
0x6873b0667012c18765693acc0e9005318c6d65d68ada6d6ae50edeba6ea75ecc,"[10818842.393468583, 8922.931849803681]",0.9861553119819664,10979776.911161020,False,For,For
0x29c0205077e5041a00b602c2e71a1b2ca5d84e2f7b4f02d2c7102948d4ffc783,"[11802995.848545816, 0.0, 0.0]",0.984798160184998,11985192.830100920,False,Yes,Yes
0x15937d80591ed226743226721d236e8c9190461521c866f18a45cb9703773a22,"[9780091.74037988, 413742.21962421417, 200711.263157897]",0.9841525194272194,10561925.126413999,False,Yes,Yes
0xaa5d0ac880f020baa5be6fcc6a414f098457ca8999de16fd9d522a7850d8bb75,"[9590148.067341022, 22245.15390661211, 109957.49370624374]",0.9829445443452096,9891047.028935330,False,For,For
bafkreigyulg3t2lyeu6snrufijckuugvgnwed6qll63cl5fkflcmwp5hja,"[2959534.8845459186, 9138655.72551592]",0.982839605660139,12309425.200601179,True,No,Yes
0x3e81e9581f48b150787a5160c3dfc65d4947ff4206e6cdca053d16da0bc60a77,"[9586750.758933086, 0.0, 0.0]",0.9821760192755079,9760725.746495679,False,Yes,Yes
bafkreid2rfh5xfz7o7s7wlj2j6zyhy4oxfai3ng2x35sh3ihnzwafrcupm,"[8370540.128204934, 0.0]",0.9805782105605036,8536330.950511627,False,Yes,Yes
bafkreibb4c6oh4yxkokq4brltn6zxq5vs2esms77br2h6c6llpahnlabvm,"[12021438.064957172, 148094.57706002198]",0.9754134487752845,12476281.373090651,False,Yes,Yes
0x8dee191174613d6f0468e4df99598de919a5c1364ae7b14990f28beec3d5da0a,"[2464875.539912423, 0.0, 0.0]",0.9722146295932834,2535320.355077952,False,For,For
bafkreifoul7zjzkaj2f2le36h3isgrhaytikfk5un3z3fz6pzd6mgvzxva,"[7951760.929077594, 0.0]",0.9607533371914202,8276589.444199128,False,Yes,Yes
bafkreicliwx2wt4rnjbappi4yyk4z2qrh224guatw7z3uo3wwh7ruekeee,"[4414493.105698311, 2025578.5246172552]",0.9591789282954842,6714150.447153736,False,For,For
0x5ed734668ad7eb7a6080f23d6cf119379ba6ca3bbbac7de0a80cc47b2b09aca5,"[12772406.756225372, 768350.9966698558]",0.9566425904619537,14154458.402648080,False,Yes - Authorize Hop Foundation,Yes - Authorize Hop Foundation
0xd8dfe984a70f7999ee8ce31ab725fc450074b83e9c9cf515b29c2e4c783b7bfe,"[13540757.752895227, 0.0]",0.9532599396853497,14204685.615305239,False,Yes - Deploy a HOP bridge,Yes - Deploy a HOP bridge
0x3df21f676877e7c87311ef6cb6864abd865d2e58a2613d6f10dd291b4f5dbce6,"[6006523.170466823, 0.0]",0.9528763057852159,6303570.709019949,False,Yes - Deploy a HOP bridge,Yes - Deploy a HOP bridge
0x603f0f6e54c7be8d5db7e16ae7145e6df4b439b8aac49654cdfd6b0c03eb6492,"[13540757.752895227, 0.0]",0.9471849287885387,14295790.971055700,False,Yes - Adopt the mission statemen,Yes - Adopt the mission statemen
bafkreihvjb3ytkqrroouve3kwuho46ho2dz2an2oljokjwnx6lwmaekumi,"[4013945.3516295617, 161731.2700976902]",0.9362661316006139,4459924.887583655,False,Yes,Yes
bafkreic3hu4fhna7lfyecwvvasfqccygzhpkvw2zu4mihzglccwa5om6ii,"[6171623.259999249, 0.0]",0.866189885757866,7125023.463647854,False,For,For
bafkreihioi2uoubmzc4onqxbhvfuvvngsrbbox6yesbuyhfngc5a7gmuvu,"[7667086.442308714, 0.0]",0.8515906899814533,9003253.009348534,False,For,For
