Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
QmXFa7omePii5T4PJUYhucMeunbz4pTXH7uY2yaKkkxC4T,"[1050003.612584292, 0]",0.9742155772591847,1077793.906291589,False,For - Integrate B.Protocol,For - Integrate B.Protocol
QmXxipxawFXBoN2xxMebqhYundse3zz7BL6krFxW53k22u,"[1050003.612584292, 0]",0.9742109904276517,1077798.980817666,False,For - Integrate Reflexer,For - Integrate Reflexer
QmakRcsNCPPSk8e9Ae2keNMX49hM1Q4cqEn5S5KR2eknzq,"[845384.0, 0.0, 0, 0.0, 0.0]",0.9258234386403914,913115.789379323,False,Allocate an additional 100K INST,Allocate an additional 100K INST
QmSvAYioUDJDUWRAx6YScExdwGHG4fqSXdctBsmw9bv9op,"[6000000.0, 0.0]",0.7576823576491041,7918885.716986306,False,For - Integrate Liquity,For - Integrate Liquity
QmQmnvanAAtgfeuEPGEJPf7LJdrQo9rtSkkS1ENT8Eisfb,"[1500000.0, 0]",0.7111146541759225,2109364.490228766,False,For - Integrate PoolTogether,For - Integrate PoolTogether
QmbDfCbqLeD4gAgyyg9cy2cor1w2JdKHzcuYAbCHLjT5yr,"[1750300.0, 0.0]",0.7082060534658358,2471455.858693017,False,For - Update Staking Rewards,For - Update Staking Rewards
0x2e0055bfa04c3b35213e9efe3416617017205ee59166344a02778597cdd3a9fb,"[0.0, 0.0, 3500000.0, 0.0, 0]",0.6377490017075015,5488052.494992767,True,0.05% or 5 Basis Points,0.075% or 7.5 Basis Points
Qma14QWMcsWG5EPvUqQ5wtucsTB1ifjmsEvFXfeFbNM2jV,"[1000000.0, 0]",0.6225305551381491,1606346.855983775,False,For - Governance reclaims token,For - Governance reclaims token
QmSCFwkHgXTShXaPHCYevYjbLTxyCjHCjHMoJ1tSWzuZ31,"[2500003.612584292, 0.0]",0.5664942685783505,4413113.691084983,False,For - Create Community Fund,For - Create Community Fund
QmQorGfoHUgs6xGwTq1ZbysptyVaKESDHES7yaJCqjLdcX,"[920675.0232339419, 0]",0.5194175644653592,1772514.227896009,False,For - Integrate UbiquityDAO,For - Integrate UbiquityDAO
