Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
QmU5Ku31dhapFmJBms9YbX2kuqQyumsJdSgfvYNym4H5dc,"[2757676562.7214136, 0.0]",0.9025042188212683,3055583015.803656101,False,"Yes, commission the NFTs","Yes, commission the NFTs"
QmZhiDLFXV5iKiDmkRAvcn5HW8vUcDxa9bsvdsg6o5t5F7,"[1899006877.8943875, 0.0]",0.8336988772708598,2277809086.310452938,False,"Yes, launch NFT auctions","Yes, launch NFT auctions"
0x2f14983dcb6f37505627f776b56c2868a0cb82dd388985fb0b85afe6a69a1157,"[0.0, 657679620.000543]",0.8154355949708574,806537786.744577408,True,no,yes
0x04ec6841b057350d795de561561118f15baab1a21a4f5ef9ce7eacc3f2b2365d,"[69420000.00000967, 0]",0.8047273338769277,86265244.235666201,False,yes,yes
0x2c3a78665a73bc60a56df67b78e8cf5d1439404abd16b64efded7d6c94916c9c,"[2443602654.1005964, 0]",0.7537762262966187,3241814438.890267849,False,Diversify,Diversify
QmahuLsSu2xXzXNzp8x1iMfY9TkHyaGDkvtGnvhe2PiEyH,"[277843435.74240965, 0.0, 1734595463.6627228, 0.0, 0.0, 0.0, 844363046.426048, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7511518682341525,3803228170.818641186,False,Design 3,Design 3
0x8b2f168f061d4dc96aecd59e9ece50fa13f73819c5b1d351174f9c49e2d4673e,"[242533725.7340759, 0.0, 0.0]",0.7490186886984554,323801968.353444695,True,"Yes, launch the index",Abstain
0x55723c4085277bf201baea0e0d298dfd255746efd194e25642cd976ecec3b1ba,"[1886964369.3630195, 0.0]",0.7421226279703893,2542658447.868145943,False,Yes approve new JPEG boost,Yes approve new JPEG boost
0x1b099f5885df54aa07614b5debe5be1645952f37fc2c37348f9e6388a268fe2f,"[250652901.19218454, 0.0]",0.7178714205605135,349161275.979582727,True,yes,no
bafkreihdscoprwnk5fe6ro75vb5jo6jfqvdp6xrmfiwiwr73rtfzsu4kua,"[1678133779.3714314, 0.0]",0.7099639777158769,2363688626.527767181,False,Remove deposit fees,Remove deposit fees
bafkreibvg4khbu2bw5mfyeqfahmgyaxknkzlwo3s5vzmflspde4wmcbk7i,"[3023871281.168551, 0.0]",0.6943717227583047,4354830679.389709473,False,Yes enable pETH borrowing,Yes enable pETH borrowing
bafkreievoych6fyzcihzyxouhd4ekc2j2xk6mzeoplxrizoe4alobvsfci,"[1677749132.4938295, 0.0]",0.6921181845627853,2424078965.001725197,False,Add Doodles,Add Doodles
bafkreigf22363onzjbs5jjavud2uwpmx6hjgamretz6qjnexsipsiqqnaa,"[2577656868.360548, 0.0]",0.6909762800381314,3730456374.303182125,False,Yes authorize veCRV bribes,Yes authorize veCRV bribes
bafkreihcyh7rk2x6tl3cmop4aslrhtbpy2h2q5p2fpblq3adgpj6xyvrqq,"[3183503835.840355, 0.0]",0.686093185501076,4640045846.710078239,False,Authorize DAO,Authorize DAO
bafkreiaca5nlr5rkah2qlzeiydrvshnkagxejryyn3zsplum5kvpkv35ky,"[3841080341.7937407, 0.0]",0.6814442603141208,5636675756.903644562,False,Yes. Offer free insurance.,Yes. Offer free insurance.
0x452d44a7ccb5918a134c128428beef9d77f3e63f8c96795a014edae4d9dc5d29,"[2219261029.007561, 0.0]",0.6746286247771991,3289604009.525222778,False,Yes enable JPEG LTV boost,Yes enable JPEG LTV boost
bafkreiemkeb273ety3nvblmveajvogexl5dalumbuipbdnduwp5i2gtzpu,"[1678368299.035044, 0]",0.6532075153237882,2569425886.355722904,False,Implement Punk Trait Multiplier,Implement Punk Trait Multiplier
0x9ea28f5c520c3b7b4e0e945c8cd560bb4f24c53506599916f017ecc1c57639d5,"[1445914154.2767406, 0.0, 0]",0.6436160044593564,2246547855.023155212,False,Yes,Yes
0x31d351767ac2bf5389b26608ef4fa98b4f567dff7ea42c40b813678460dfaf70,"[1829358510.4151232, 0, 0]",0.6395212379443358,2860512523.861406803,False,Yes,Yes
0xa83e8a3994603ee1b4eefd71e12e12dd736c9c4051f6722e738bdf80f5ddc286,"[0.0, 71848601.43624085]",0.6204891479278316,115793485.955692306,False,No,No
0x7bdb01de0ed59587bbb8f8828a1d3ed6456aa041b98755d7d9ce557d7cd7da31,"[142451109.95893925, 413343916.73416483]",0.5917581408672641,939226667.635778546,False,yes,yes
0xd68fd85db271a80b0b48494fca4f97204d1b39b17fd27d473b85540a031aa7aa,"[413343916.73416483, 402964563.2329543]",0.5825227023330174,1401333332.928972960,False,Yes,Yes
