Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0x3b1e5f9960e682abdc25c86624ad13acb88ee1cea18db9be99379b44750c7b36,"[55187573.61907005, 0.0]",0.999967504944796,55189367.000597410,False,For,For
0x1db805206f0979471cd973557daa5c57ea6b68fba532fe55d94af0b3c9acb5dd,"[55426576.051103, 301.91519450577846]",0.9999594477721934,55429125.740831673,False,For,For
0x1454174da2e17ce3eca6afe8114678c0971a4ece33cedf7fd21c57d2b9f44da9,"[64249356.57121822, 439.250752829079]",0.9999561260939537,64252614.835157558,False,For,For
0x7ac2431dc0eddcad4a02ba220a19f451ab6b064a0eaef961ed386dc573722a7f,"[57686947.46411716, 78.13038422652139]",0.9999449474271602,57690201.588526487,False,For,For
0xf4beabac4561b2a927949868099c8843a2eed0df85b8ee0afd5c7b04611ca540,"[60422018.65535884, 0.0]",0.9999436212214434,60425425.367034800,False,For,For
0x8bbd48f0e77b8035ed5c249a2716ea950d5196c121d972eb73fc44adfa664718,"[36864480.243306, 0.0]",0.9999355414281698,36866856.628232129,False,For,For
0x32f6f095dc4f7b97665b560781d6e6795da11f9c8218936a505575040038d70f,"[57163748.21209293, 7563.113010643607]",0.9999338823642129,57175091.606986538,False,For,For
0x3436b98afacec300ec2c0f79bb8dfd16685ececeeb7a45a18754d43b710179e8,"[55124323.664074376, 2048432.8880345668]",0.9999317621656081,57176658.163439780,False,For,For
0x7f19fed19b66df88b45d64c22f9905fbf716839a5052fb79b10ee2ef1241645d,"[54546195.85193226, 7525.505910950667]",0.9999304227805257,54557517.318199627,False,YAY,YAY
0xe964fb2b0ad887673a0748b025c68a957a4b05b604d306bdc66125e7b758e524,"[55703349.91346355, 115740.740740741]",0.999926667011853,55823184.335119464,False,Shut down on Terra Classic&bETH,Shut down on Terra Classic&bETH
0xc00b48275e268f26b6cebf82322f281a44acaf679f6381dd612e278174671daf,"[53105788.89615223, 143.9334151800236]",0.9999169764055227,53110342.241084188,False,For,For
0x9d39cc7ed918e89cff5a597ff1e0bce0974f5721283dcac6ccc8274bde703d1f,"[64107715.94387769, 22888.88502928471]",0.999909298368819,64136422.107010193,False,For,For
0x5844beba37131b3621c5c96621603db7cb7e2771d1c690dc6869ebd117e12abb,"[64150676.19687338, 7871.351140166874]",0.9999045065789307,64164674.852326997,False,For,For
0xf2d6161128682bb3807838e51e33c318f1b6beca3e235ebf8c79682b800aedde,"[66488927.25297699, 8549.48767620672]",0.9998945816859516,66504487.531605430,False,For,For
0xcbf534335fe07c046caa933e1623ac38bfb3d1890ab825264a0b47415cf7799b,"[92934.92264371048, 52723122.2034864, 4535.772055236141]",0.999890669533227,52826368.429703690,True,"2. For 4 new oracles, 5/9 set","1. For 6 new oracles, 6/11 set"
0x57c8e1017c79eacbe4dc56b9b0077f445d8bb8e49ec7dced4f6c3b3e63029eb1,"[64125466.81674186, 8224.257818396074]",0.9998811465498286,64141314.491086051,False,For,For
0xb2732ebb88f93b0c0cf649dfe6cc7e7549b36523781b9171c57e9ae68e441567,"[31927484.633468445, 7050320.1428119475]",0.9998749538567914,38982679.409992553,False,For,For
0xeeadc3b5bfb4565cca611499c2c39e37e84bab8ad63b4f6a74d73b4151b0e791,"[61372007.01979874, 11582.757643301442]",0.9998670357272705,61391752.687189683,False,For,For
0xbb5c7f1b0ae30b502ec207cffa324b05f69d6024cc56d94b0ea8df69216de1c4,"[38446944.67494801, 8455.104714179814]",0.9998631873281334,38460661.685549140,False,Upgrade to V2,Upgrade to V2
0xa2cd54039590f84c96904b7fc057cc2fb849515496a0240efff164587ad54f13,"[64857751.02380797, 0.0]",0.9998624826806516,64866671.314562209,False,For,For
0xa3995b1c5a9805aeb897fe94a0120588be394ba3c177c22c67b55c3d2ed5d590,"[47622231.768609814, 3270.640351424254]",0.999816838367532,47634227.171771370,False,For,For
0xfc51ff575ded159f2c65733f68e35ac4a2a2c721bbe07f72778752e0a5f5db0b,"[60940918.87627625, 15000.000046723642]",0.9998134599461266,60967291.718204603,False,Yes,Yes
0xa7a8d9f42f72405a72f91d8124f970815028526197b9cc186a1882fae2d17e05,"[58032946.15740793, 10401.989735862639]",0.9998133441731684,58054184.298915148,False,For,For
0x3fdb38cc13abdfccf9978a27b74de7a47d52663c952bc6d8c4b8881442610fa3,"[39540913.87831498, 5940.3351759049]",0.9997956233896275,39554938.317707747,False,For,For
0xb93235759e74cfc925dfe4c08e6bf027e861bb003369d2254a572b0068920342,"[33034040.5094424, 0.0, 0]",0.9997476701921999,33042378.086354189,False,For,For
