Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0x27f0ad4f061894cdc871692e93807e34271127661d798e4581aebb7fe981e28b,"[133737923.9471976, 0]",0.9972456430069618,134107303.335958496,False,Yes,Yes
0x15e24bdd8c051e990e91d668a0834cda206438faa26a427f36a55fe76991dfb7,"[0.0, 0.0, 9747259009.515282]",0.9794154196273321,9952119207.214561462,False,Option 3,Option 3
0x6255b01cf923738b02e525a9d4b23ad0ac56961914f002f4d665fcbac4b2d2ed,"[2049540755.3272018, 0]",0.9358354747008131,2190065252.636891842,False,"Yes, Add 5m $MIM","Yes, Add 5m $MIM"
0x6f27ba21be0959ce9676862d7febfc5e2e27e630ef7647910278468277c50bd3,"[2809264220.5437655, 0.0]",0.9290237047815395,3023888632.857183933,False,"Yes, Increase Interest","Yes, Increase Interest"
0x05faf4faec896ebd547ba83145245ee246d502f0a421e120f201df360989e06c,"[2612946114.327202, 0]",0.9131710933644828,2861398190.672108173,False,"Yes, Mint 4m Additional MIM","Yes, Mint 4m Additional MIM"
0x1eb1b40db469be8fcf9d2861c22e1a443eab107a77d5fc6e7a291bf3afd3c00a,"[2726285990.4119473, 0]",0.8971244618852229,3038916121.719513893,False,"Yes, Add a $CRV cauldron","Yes, Add a $CRV cauldron"
0xb27542738e2b302cc9e631c55fe5f8654ff9f7254cabf9bc8ff2984579432d29,"[2736934018.968627, 0]",0.8943702785025788,3060179977.750384808,False,"Yes , I am in favour of POF","Yes , I am in favour of POF"
0xb86da61c44c6e91f94736994144fbb7a757694f403279eadd93572112dfc0cc3,"[2665363636.4410205, 0.0]",0.892067731696292,2987848951.079932213,False,"Yes, initiate Patronum","Yes, initiate Patronum"
0xe13cbc5d70ec20daca70af221999afff7f627878f40be5d2c54d01cb07c15bea,"[2612946114.327202, 0.0]",0.8911506711386852,2932103626.189787865,False,"Yes, add a magicAPE cauldron","Yes, add a magicAPE cauldron"
0xa7c572254ea921e3abb6b6786fa5ae3f37b72894a50da43e8e5184c0f7082ea3,"[2612946114.327202, 0]",0.87624273725892,2981988897.849324226,False,"Yes, Create the ODM","Yes, Create the ODM"
0xa5c27b0c58a4b4fe68d4f89819b16ffdeb77a61ca499679d4059e98844b4dea5,"[2155907475.556011, 0.0]",0.8744722063605791,2465381357.891946793,False,"Yes, lock using Yearn","Yes, lock using Yearn"
0xed41998ce9a1e9a8faf47057641cbc8a6ff73e4f0dc91d5fb9d1b363da5317e0,"[2293862717.8062415, 0.0]",0.8643594418615764,2653829653.165973186,False,"Yes, Increase Interest Rates","Yes, Increase Interest Rates"
0xfa94f0d018d699769bb1b076fd17170a2f5df152773734e5866465a75c26d337,"[2049540755.3272018, 0.0]",0.8633833456726329,2373847915.412908077,False,Change to new limits,Change to new limits
0xcbdf513ba4bbdf2d4e7169dce0d0b428b5a0027893d14f89ee16663235ad29e8,"[1840004997.1133606, 0]",0.8182334290272115,2248753145.298551083,False,"Yes, add mSPELL","Yes, add mSPELL"
QmY3U4SLjDVKLTwiBd2BGQUHvreqgrUnP6Dsu8PPHgtZGM,"[9776385780.742043, 0.0]",0.7915507567650165,12350927211.158369064,False,"Yes, Burn","Yes, Burn"
QmVtBKUF3MqNA4bhcQn1XrsPrbRtcRbDBXMNebLV5tq3dM,"[3426017091.5560565, 0.0]",0.7628996443596154,4490783442.993848801,False,"Yes, Integrate B.Protocol","Yes, Integrate B.Protocol"
0x671a43efdc0f22cedf8ab282b29600834ffeabfaf3dd40d7f01d34ce68ded10f,"[2672945586.8852673, 0.0]",0.7606024215913858,3514248063.124414921,False,"Yes, Deploy","Yes, Deploy"
0xa5f1bb127ba3516ddc16ed44ace12ad48f74f02e8c3aee542e78735ef6bb3a43,"[615598585.2386014, 0.0]",0.7306911228144793,842488112.990118265,False,"Yes, Approve","Yes, Approve"
0x0ba2991be9f403f012a323a414ad3bf331dbacfa623ac1b72e5e7d8628c3bced,"[1430398902.317495, 0]",0.7048163917744734,2029463160.918075085,False,"Yes, Burn","Yes, Burn"
QmRiMLmkc57zDzoEJYogSH4pEqyuQ25o3CkGP89yY8yVfo,"[1970275978.7383323, 697204962.8430429]",0.6470895493765653,4122274798.212000847,False,"Yes, vlCVX for the wizards","Yes, vlCVX for the wizards"
QmP8siJgqmmeANUdBkGeTNiwJho1STfKfUq9FoELrX7hHh,"[1254091434.1228323, 0.0]",0.6442296731455587,1946652702.287868977,False,Yes,Yes
0xbfac94e84e97c36d8064e89ba123165f59c0dc91395a04fc083a316fed65c24b,"[437201337.65864146, 0.0]",0.6104019183136707,716251578.740901470,False,"Yes, deploy on Polygon PoS","Yes, deploy on Polygon PoS"
0x8c42e2c76844a3cea2c0716fd661cce48302f3487d6c26584329e551c444cafa,"[193824877.81894577, 0.0]",0.5779101790792186,335389278.188119113,False,Yes,Yes
QmWGL8uVoK48GYzKFhMtHNXTjpReYPfsQgU2N8bRzFWjJx,"[1796276584.7891269, 0.0, 128041394.0874275]",0.5602894911221101,3434506642.312101841,False,"Yes, with 5M MIM initial limit","Yes, with 5M MIM initial limit"
0xb15e896708bad4f4bf4c5f5af46ea6969020e5984a90ee569b57c1dd32daa05a,"[441684982.297477, 0.0]",0.5577458698381027,791910807.740602732,False,"Yes, lock the CRVs","Yes, lock the CRVs"
0xadd59bc2728afe9d91d234cfac8e2abd05450c14441808a02dc1bd86260c85e7,"[189598315.63521716, 0.0]",0.5147881748612583,368303556.479937077,False,"Yes, mint the MIM ","Yes, mint the MIM "
