Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0xd15551329fa3e83c68ec4dabd885ff17e8c26a20e1d44899510765d16a0cacf4,"[0.0, 2902378.522186622]",0.701893372990607,4135070.416493964,False,No,No
QmQkG8aWrpiPjcL4fw5eeHmteYiVDwPSXYDtM8PzD6WJzm,"[4030661.818114631, 0.0]",0.6934009096510226,5812887.987330731,False,Yes,Yes
0x0915881a0135b71466db7b3238bd9dc5bb9e6027a465981e866abd0ce875c527,"[330491.54844036285, 2428375.9501214256]",0.6641942117762487,4153706.024001283,False,No,No
0xb304e099072121a40183e0ce30371ce927a0d3dfd9eb912c876bb934230b9223,"[7411697.420444342, 0.0]",0.6259631652787558,11840468.946992660,False,Yes,Yes
0xc5d25c7acff0bb109e1b05c1b139bfa4206cd28a34b1ecc701e4fabb0d97145f,"[0.0, 2002503.6266552988, 0.0]",0.6192931675050852,3233530.953881960,False,MC/ETH,MC/ETH
0x14664200f2e58651eaf659da8f5ae8cf95edd3d194d41ba475ed21046fbb8161,"[4024656.145944402, 0]",0.6119970086991104,6576267.675718547,False,Yes,Yes
0xf06600beda3c784822bca0d16023774b7cc5764b43729a049fa97518832605d8,"[3606619.8965598685, 0.0]",0.6093720252588386,5918584.620007639,False,Yes,Yes
0xbd4b35e7ef4fa6aa3d354084a6c6cde2db9f4f029554169357faf3690c3bdef4,"[1367848.953895983, 3528229.757564064, 0, 0.0, 0, 0.0, 0.0]",0.59710744619524,8199661.120720885,False,MC/USDC,MC/USDC
0x732345cee235149d38bcb2884d287214a958074d32fe1df6385a832bfd728e3f,"[3787754.9551330307, 0.0]",0.5945458789773446,6370837.119665520,False,Yes,Yes
QmT71tWtTwk6q5Cd2kvhoLzxm76SpNaQGBR9RE7pCxBM58,"[3275204.19072657, 236837.39923470886]",0.5920313994065374,5932188.045231741,False,"Yes, with clause","Yes, with clause"
0x2927e0acb6a03756b3281dcff43bdb7cfe2b28e343630f7e4ec98f859ca3ed3b,"[3613792.7362445835, 0.0]",0.5901186420261549,6123841.002271565,False,Yes,Yes
0x20f45fab6813322dfe420c3a8c9a033a5379b720815b9d617fe3768eec5ba4ec,"[3954793.255895391, 0.0]",0.588764514023713,6717105.331073178,False,Yes,Yes
QmanW7dTyF2LvvU9iAGwj3i9D4F3TS7ZbxR33jVCmKMrgR,"[3240141.604579975, 0.0]",0.5732890859565019,5651845.960356936,False,Yes,Yes
0x98ce918100070c35dcbe85a7048c4901fa17d256a21e5cdf32c93fbc39dad6c8,"[494968.7841815235, 2509915.052012462]",0.5697224536894996,5274294.205423148,False,No,No
0x412aa19cc429214afa1cf72f0257f5c80695540c84bb9b84b724715a87e882db,"[4309343.273063596, 0.0]",0.5674919558110094,7593664.066841377,False,Yes,Yes
0xec08b6f38941c02319ddeca4b8631be36da542a6f629a465b182a81b4e0deba3,"[3027691.023399042, 0.0]",0.5618369647666729,5388913.890093404,False,Yes,Yes
0x3542e2c294a535e9c6d943ceb73f65b6ae0a10c0fe9314523db76df82667b9b2,"[3876086.160978482, 0.0]",0.5393025892946878,7187219.638696183,False,Yes,Yes
0x4e20025e3673afd8a552a3f1b65dfaee47834122328105487714c5ab5a9403d1,"[3176249.988994351, 0.0]",0.5331382158918575,5957648.306417085,False,Yes,Yes
0x82bda0ce04a3aac44bb4c3aa2bf70701513c82d792c0574df49f934cd11a6a37,"[1945049.0383891966, 0]",0.5125057524945452,3795175.037396089,False,Yes,Yes
0x64a669acccf77471e8aee82ecbfdda431d4b487ca01e66b2cc4c1764b5ef97d0,"[372356.95774126064, 236837.39923470886, 1644465.2348047742]",0.5073727040405434,4441822.695295522,False,48 months,48 months
QmYVB6JAudqLR8sMZWiRZENWxY3Jm3ewJjWhPkyhAjoTHg,"[0.0, 1681805.5796935814, 0.0, 0.0]",0.4885543245082211,3442412.635250926,False,Uniswap v2,Uniswap v2
0x45b53873700c5745a8fb8490503efed7209883c950ea8dc39e3177b04222c311,"[1472633.372490339, 0.0]",0.47779437348974363,3082148.836819550,False,Yes,Yes
QmcZfm6ytj536u8fpNB8Npme8b2gdjLiipQQtYbPt9pbnB,"[1945049.0383891966, 0.0]",0.44443284908478514,4376474.516666829,False,Yes,Yes
0xae27e762c1f5b3f9f08675f18ab1824346f29828dc95036a6dba9462df24e363,"[1800755.843470255, 0.0]",0.43807283565559363,4110631.148300605,False,Yes,Yes
0x4972826f925eb31902ffaea50ab809e456480a8c33bebb8df9fde87c8168e30f,"[1044202.449925873, 0.0]",0.37097270727751575,2814768.928930209,False,Yes,Yes
0xb77d29313a2d878c23bb4792b0bb269f4e4bab1e1bb2b28bf992b27f64cf110f,"[944924.0022090438, 0.0]",0.35856128107783647,2635320.800306712,False,Yes,Yes
