Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0x63e292837175a2976c8857e0f3d565c7e5349fbf3671bcebae5505ed4dc97b12,"[203677.84672807564, 0, 0.0]",0.9916179556003747,205399.514578938,False,Option A: Approve,Option A: Approve
0x14b024d9eb9e85a957e56e627e3ed9ee4d0ec64b369b8448b4f0704adb14c4fb,"[0.0, 1492.794395202332]",0.9728869159540813,1534.396619712,True,Against,For
0x6a3d66cfde414569dbb2ea4efdff77d6111132e20d958c43ba9ca23eb06a2c81,"[1488.4651728184804, 0, 0]",0.9570945843800175,1555.191301999,False,Option A,Option A
0x131e3055c2e7336773effca5dd9cc00a8de14755727a379c550c74d1462914a0,"[0.0, 768694.784989798]",0.956148923802219,803948.805310588,True,No - do not support buyback,Yes - support buyback
0x05a5613177b6917132c602ce756ded29e90c754d200f1839245dc13605c250a6,"[196688.33716547926, 0]",0.9516915833409355,206672.351220130,False,"Yes, approve budget","Yes, approve budget"
QmPZUDefpMuTuF4tBTsHfQsPGb4yT2s7kuCaHjSrbCVvbX,"[270219.94774116704, 0.0]",0.9507835484891912,284207.639236660,False,Yes,Yes
QmZ8FbGtTBfMex33sH7ZEnFHc2uzAzQpxXbRM7Wz2Wmbn3,"[270219.94774116704, 0.0]",0.9381119859856092,288046.578423434,False,Yes,Yes
QmPhj4ihbrkrHwTscJK8PsvdN7DDYXYZc9HcZx8Prfiv2M,"[19.57290311167648, 0.0]",0.933789784059776,20.960716690,True,Yes,No
QmNziEmQqPi6WBxDSDcLAJqkvvQe2zehyrwLqAq4hiinn7,"[420590.2054732329, 0.0]",0.9317048959042239,451419.979998117,True,"Yes, grant 2500NXM",No
QmcqBHHgQvzQgKNnwQi7T5DAQPnt3bTeXhcpXsMxZHMhPL,"[262821.00459703285, 0.0]",0.9254566575270518,283990.614211288,False,Yes,Yes
QmSY4rMspQYAwaguqM9w5zzRaP6jok1TrSCAYuFdpQSSTk,"[262821.00459703285, 0.0]",0.9254539918785019,283991.432208914,False,Yes,Yes
QmTfUb2v6nJMvn8y2At9LBzzaQNAJoMp15sFgQvUDrbppd,"[28394.85945081408, 0.0]",0.9179875690389864,30931.638301529,False,Yes,Yes
QmX1bpvTVWeNaWdFF9CTuPhS1aAMqJef7je3hV67qWEibQ,"[270219.94774116704, 0]",0.9179129068984452,294385.170652212,False,Yes,Yes
QmaJTF5hP1VKJkoK6SJF3v7sCNQJ7N6Gg9HN1XFCfXdYri,"[103597.78495810917, 0.0]",0.872570986555101,118727.056657146,False,Yes,Yes
0x580d3550631135531bec9409900076f5f64f94f7dc462d74fe45c9ddbbad5726,"[11203.967467560435, 0]",0.8695327328208113,12885.043937580,False,"Yes, approve the budget","Yes, approve the budget"
QmfUwvMTR9yARMxqq6bRARHdVEWPoZUQ5utqNkQZ54Top2,"[99997.30683158274, 0.0]",0.8605205436918586,116205.600859415,False,Yes,Yes
QmNrVJRRruc5FgtPPQH9BhhEtgWUb73NWmz1tuaz8879fu,"[99997.30683158274, 0.0]",0.8452692915958474,118302.306526232,False,Yes,Yes
0x64a54b7979d3a860e5ac50ff7b077aff33b7620363044e97bf61d7055e26ac0d,"[196688.33716547926, 0.0]",0.8399997502749575,234152.851951560,False,"Yes, approve BootNode grant","Yes, approve BootNode grant"
0xa309d9fc1dd9833e0d6e5a0dc0ec919033d0f055f588d49a6611cef3b4abf5fa,"[11203.967467560435, 0]",0.8374621299549054,13378.476550532,False,"Yes, approve the Charter","Yes, approve the Charter"
0xb8ca8f9127f913234e6c2e97c11d366ef65d7f03efa103bba0eee15c1e35c92e,"[0.0, 203150.75572854173, 0.0]",0.8305291909589032,244603.992177554,False,Option #2,Option #2
QmPscuQpNGVCWaxSMwou3DRqoahnxYeGCMLNd2hcqxbJDo,"[420590.2054732329, 0.0, 0.0, 572204.4873929402, 0.0, 0.0, 0.0, 0.0, 0.0, 371361.9097197013, 0.0]",0.8128997811529848,1678136.265027663,True,Lasse Clausen INVESTOR,Yan Liberman INVESTOR
0x9030cdd6ba94ae7b6bac959ff87921d7c34221dd782fb32221fdfb8217115676,"[0.0, 0.0, 572215.747918492, 0.0]",0.7310745598851938,782705.047223024,True,Increase Foundation Funding,Stake NXM in Nexus Mutual
QmVZfPp98HaLMmxfJqDsFmsZynnWm1K8i44GmePKvSFLeB,"[10741.288256918087, 0]",0.7213328574446417,14890.890032335,False,"Yes, I support this grant","Yes, I support this grant"
QmXvt4mJgamNAwiK5BhgyyTf9sMrwPCvJyskh7tQDgFtPg,"[9660.383485250404, 0]",0.6907479466247439,13985.395877693,False,"Yes, grant 200 NXM","Yes, grant 200 NXM"
