Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0x84a0c252ce3867caae0790d3c9f51f4885dda9acc87ab24f7273fd4514dbd0de,"[8310200.342247287, 35528.986437894644, 5626.559744804274]",0.9992127524252886,8357935.653002406,False,Approve proposal,Approve proposal
0x210027c063ebec2fdcbbbe5f55eafe69f604aeb75918d715a5ed470f91a974ea,"[6450308.598584957, 0.0, 39934.03663394809]",0.9985793003902774,6499476.438858993,False,Approve proposal,Approve proposal
0x0a7e043839efceac299ece5212ee93ae421a9e1f4512a08ea048cf5a13944312,"[12699733.360647362, 0.0]",0.9980974716985623,12723941.018540960,False,Approve proposal,Approve proposal
0x20e76a2d28ef70fc223fe27b407b6a9f4902cf1693a27c12dd753c3535d40c0a,"[24143906.041404136, 11453.140126515082, 7923.497122571449]",0.9980714684942585,24209972.373127930,False,Approve proposal,Approve proposal
0xebbe5979cdff8e570f5be6e07ed985f70fde9b8b3b295c45740652d22531fdab,"[10056056.503167447, 20022.331239007774, 0.0]",0.9978319512892135,10097971.728995061,False,Approve proposal,Approve proposal
0xa1499fbc235f541cf50bd2f9f8f4cf431cc78b1ed0cb22c0a3d51f1943a89c3e,"[11429230.692268446, 0.0]",0.9978287505926815,11454100.400975430,False,Approve proposal,Approve proposal
0xf4595cfec318c6d17afdb8c901fdd3fea357d846a9dea3d1d5d6996e8593a405,"[11161483.902811889, 1313516.4190100303, 95748.50870025781]",0.9977908511648572,12598580.970998710,False,Approve proposal,Approve proposal
0x28087ff5f6ee42b3a077ffdc1649900703c763fe2ed8f7e4873598ce0e5b41d4,"[11279476.36621688, 25397.249485891807]",0.9971630546413695,11337036.167839751,False,Approve proposal,Approve proposal
0x4ccb04839cb3254dbc9b84cc64e613407bce6aa8233a7f5c60d02b354e6d06f8,"[3462608.1294777025, 16317.543997496039]",0.996042422438701,3492748.496552415,False,Add stETH LP as collateral,Add stETH LP as collateral
0x62ae5f092aa1d1469604d5c33c4795b7db2683fcf53444c15a1cdab85cfd8044,"[8894413.335854208, 75458.32973773073, 8494.60709402376]",0.9959413920978419,9014954.438005647,False,Approve proposal,Approve proposal
0xb56e545f1650f979fbc595074155ca2a91a1e053c868f04978ed9af3d2b26261,"[3089395.909152795, 49027.78125280542]",0.9957626007794366,3151779.036437991,False,Add yvETH as collateral,Add yvETH as collateral
0xfe71bbd8b1c59e2b0c3fd4f47e7fba0a2683b95c1cd7164da172bf8473b9ec20,"[29432972.325180735, 16724975.871913755]",0.9945661356536968,46410134.572655983,False,End QI vault incentives,End QI vault incentives
0x1d41e5d1fb2658ef916a7e956896e27c7e8c99ec37bc83ca8b1b161b43afb2b5,"[3579898.6260712477, 0.0]",0.9940820402764605,3601210.444437418,False,Add stETH as collateral,Add stETH as collateral
0x7711e0d7fda22993b3e25918b3f8dc62bb070708817665e106d458f1becb2b4b,"[8543372.146966305, 31487.653537086742]",0.9913844730431395,8649378.756338725,False,Approve proposal,Approve proposal
0xdf33bb2d234b7f8695100103dfd03836233dd68ceb553cfc42719e75b6c807ad,"[8325691.070685492, 36412.62987736652]",0.991339874101476,8435153.189154271,False,Approve proposal,Approve proposal
0x7684a42b7b93092034b1709c8c7236912f8281eac233fa456529ff824957c220,"[11696176.274483021, 9215530.767003523, 0.0, 0.0, 1277136.1142270803, 0.0, 128825.16160760455, 38156.03813852502, 0.0, 7944288.090536484, 6916770.568944896]",0.9907174412550596,37565587.790393680,True,FRAX/MAI,vQI/QI
0xf41701836580332986c3dd074b04f3b25eb4379c2162f2b2a947943bf10bcd0c,"[9918075.527301416, 0.0, 308565.34128389147, 24790299.139690768, 0.0, 0.0]",0.9905763638271169,35350066.170554727,True,Add xxLINK at 150% min CDR ,Add xxLINK at 120% min CDR 
0xc2b93c2101120ed5b1a71832d51b8833cac8e8ea17d59e98c1eebde94015b8ca,"[110138.77017162839, 3653164.870131094, 3747452.711972826, 0.0, 0.0, 392296.3689918976, 2846163.9277097024, 1666204.216517381, 32201.700811677758, 1589914.5026623644, 1630923.6506340776, 0.0, 0.0, 849642.5529621838, 0.0, 0.0, 0, 13079449.981826268, 849642.5529621838, 2222327.3570603705, 1498168.815489088, 5888927.615216112, 1498168.815489088, 1498168.815489088, 0.0, 1498168.815489088, 1498168.815489088, 0.0, 0, 0.0, 5439712.937049307, 0.0, 56558.31437396041, 11683662.567009361, 22359831.683851104, 0.0, 0, 0, 7490844.07744544, 0.0, 0.0, 0.0, 0.0, 0.0, 7490844.07744544, 0, 7490844.07744544, 0]",0.9830640409035629,109923248.227422401,True,mooBIFI (Fantom),Beefy Scream LINK (Fantom)
0xa31295dc86a7435037a4890ab1e1dc401cc705d78cabba2f73969a88409b81d0,"[0.0, 0.0, 0.0, 239073.80641062406, 0.0, 7472409.381091859, 45894.65975848664, 6969758.585885406, 0.0, 6697046.790824081, 6592388.650433685, 0.0, 0.0, 0.0, 0.0, 98424.67809029257, 0.0, 22854.72739764582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22854.72739764582, 0.0, 0.0, 5892788.625948851, 0.0, 22854.72739764582, 7881116.446438071, 22854.72739764582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 160048.70783634638, 0.0, 25417.914656380122, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9828488666882735,42901598.186751768,True,xxLINK (Polygon),Yearn LINK (Ethereum)
0xfc9af9f19f6f04abc94615c51e55332bc652ea7b160620bd251debe209ad71f0,"[119351.13117443827, 167770.8127676876, 0.0, 0.0, 0.0, 10234108.100089971, 139982.49463950726, 0.0, 0.0, 9715788.37018141, 222489.43792939011, 0.0, 0.0, 279964.9892790145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 55538.77192318458, 0.0, 0.0, 0.0, 4674228.98919268, 5087113.624927826, 7440026.50582857, 6884109.240151028, 248295.89884011776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9816311105590236,46115865.603673622,False,Yearn LINK (Ethereum),Yearn LINK (Ethereum)
0x8f6c4b82704e9166fed432ceed979d0e3255f5a3b1373ef0ba6a381204b38e73,"[8598330.537408361, 28337.43334622101]",0.9808233053260729,8795333.393802937,False,Approve proposal,Approve proposal
0x2c569f64aa3de44066ef01c917b8bf3ad435d322a86beb8cde89884953354521,"[2377183.7698513665, 381300.87262439897]",0.9805816324354194,2813110.659257059,False,Migrate to QuickSwap V3,Migrate to QuickSwap V3
