Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
QmUp2BaqgrDF2JSWRdKe4KCNAnmgwbuv8i9NQcTyMvHRzR,"[1917.0261298320002, 0.0]",0.7324051657606757,2617.439389359,False,Yes,Yes
QmbguPqn8RyrjvYDFWBm1y9g564DukcUAyvvVPrGf9SbDV,"[2494.258875922, 0]",0.6255965934367306,3987.008404601,False,Yes,Yes
QmV6J4fjDsoRv6kd2romDhy8YA5qCobJFWbyPX6QG8k6RZ,"[1859.979293423, 0]",0.6117343586832421,3040.501595213,False,Yes,Yes
QmYmG8VkKBEHg2fhGB955zuM7gJHujU5pfhxG4wwaTA8Qa,"[816.618362424, 0.0]",0.5898604791839152,1384.426302901,False,yes,yes
QmVSa8wBVjPi8thvapkKvvhLbmE28u9hnEYWcCBwL5HFHs,"[1324.239725881, 0]",0.5486441844709506,2413.658548405,False,Yes,Yes
QmWb7ecX1biWx2YQyiZz7LnwtoJRHjhBM2AtXRw25bn3Yq,"[656.158550685, 0]",0.5440309761101666,1206.105129117,False,Yes,Yes
QmeViMLEcjm8P5fN4opxf7fhdq1HorkKQ25qoL7GBBQ1RE,"[655.375505272, 0.0]",0.5204703270685735,1259.198596322,False,Yes,Yes
QmWBBrDRe7miUBUA6VcbpEwMaEDEgpcpBzL6rUpDmmjYbw,"[814.560520984, 0.0]",0.5186063301528585,1570.672152698,False,yes,yes
QmUFx1FAmdqgXLqDVGcsMuE53otSYPRqVsqjibm884HCpf,"[1890.348932025, 0]",0.5103742963238818,3703.848225980,False,yes,yes
QmZReUyfosr1i4Sa5yn2h2pjVBhTfxkTuT28e6izPaj1wq,"[662.320528722, 0]",0.5014160957839112,1320.900015558,False,yes,yes
QmUar1yioN2UuDHPXtUSanHTtvkWudCDgxZgs3rnShtwCV,"[818.142202398, 0.0]",0.5011872949076909,1632.408105135,False,yes,yes
QmRhqqcrL2PkL4xVhUVWKFi5B2sUuzaCuvm14LxN8GvqJY,"[393.310285791, 0]",0.4974057505844597,790.723238179,False,Yes ,Yes 
QmRSVgDsCLBmQMEiC3FaT7KPkHxh9mJnr8LqGPjtDSB7b6,"[234.330584435, 0]",0.48085993341842537,487.315677913,False,yes,yes
QmWqKdCHDTeb19b88P6sgQrqvGLJq7idadNUJYdj6991ud,"[813.571464158, 0.0]",0.46887820727442814,1735.144546144,False,Yes,Yes
QmUkibFFZ1HnKGyYcPLrW2iJb8ofKL9QzgPpmirp93eBdn,"[987.6784873380002, 0.0]",0.4681779626894916,2109.621908866,False,Yes,Yes
Qmd26XCVwdz5R9AWQgP1E6inKSnV9cDfDLKdTgvyvwaGe3,"[1305.887234726, 0]",0.4675495933516687,2793.045386618,False,Yes,Yes
Qmc64w5ceppK6FeiCtNDdw1HEF21ogZuFEYQYHE3nVSWi3,"[811.908732614, 0.0]",0.46070815003296905,1762.305990367,False,yes,yes
QmdM9zgVpuqJGAWEYHAjFE1CjzDEyU2nUuBsxmXSzbfyRE,"[657.933543787, 0.0]",0.4536644582722448,1450.264687458,False,Yes,Yes
QmbQTMmymivNq1GdmxwDPBe2oxwtmBz9ShCcshvR7moxMt,"[654.79875084, 0.0]",0.45314502807258056,1445.009236061,False,Yes,Yes
QmWNJyVQuGyB7ZLgGkpasLH5p5xGLgZB8YruwfRxWux5pf,"[657.305371495, 0]",0.45282735716494826,1451.558438541,False,Yes,Yes
QmXSNPV1uduw3fHU58ergKzXGbYvDKo6XPKWxt1bB2iBmr,"[868.9955814699999, 0.0]",0.4427922977109118,1962.535450509,False,Yes,Yes
Qmcvagxw7quvTTjLk6GvQ723GCwabL4ozmGzkuakrVX7Sv,"[658.252057326, 0]",0.4383881338618207,1501.527998779,False,Yes,Yes
