Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0x5d7fef8b6a7a556f2e1155c38825cbed58f010999cf4bc26ea75d6f91bb3f3a2,"[17623.779731861934, 3614.43299929796]",0.8231502872917316,25801.136267639,False,Fund with 40ETH and KPIs,Fund with 40ETH and KPIs
0xd9824842fb777c0ea98e6da0d8b3d7a357ad1a28aeffea0e3f16aebe834c330e,"[6581.334042822008, 0.0]",0.6886093975220787,9557.426991999,False,Yes,Yes
0x0bbf87139b816d2d8f4510e9ea1ada09e6fa2f0b24ca012ee102fedf21636fc2,"[4189.520747827988, 5647.373734539756]",0.6499988636992141,15133.710275099,False,Keep current BTRFLY rewards sche,Keep current BTRFLY rewards sche
0x4e135f3a20feaf2899f2b97253ad35662780a24223db24cf5766734e44ccd21e,"[8001.208950080707, 1038.0798227263795, 0]",0.6380322964324767,14167.447045157,True,Lock all AURA for 6 months,Lock treasury AURA for 6 months
0xce55d7e109564f734ba1ca0b8407266959a8c4f88d3ca33ea3e6d852fac9eb08,"[0.0, 1630.6877435628858, 8482.791652840899]",0.6219309249745844,16261.419058422,True,Do Nothing,40 ETH Grant based on KPIs
0x94448450887a542df9b8e7f2efda8ebef739265de9480166d4ef758d46a1421a,"[3333.8782332224923, 0]",0.5950676945880523,5602.519282332,False,Integrate GMX as Pirex protocol,Integrate GMX as Pirex protocol
0x6335ad8f9646a06b4146e2cc578aa77df9658ef7abaf91ea495ebaddb4b89ca8,"[0.0, 41.31304411096256]",0.5897633168148556,70.050209861,True,no,yes
0x5212d2690ee5e315d116cf7e710c4404eeb82de15f3509bd36e6240675064988,"[1574.115203519326, 0]",0.5340957740084733,2947.252684112,False,Approve budget,Approve budget
0xad8086401d1a65f3d536fa7283f8e82d40753891ef2fd1d668f5f6555641ec8a,"[556.86519993764, 1017.8237558887276]",0.513692856842638,3065.428952049,True,No,Yes
0xe96598abc1482fb3cfccc8043131a32513bfe1ae80409b7d1aa713ba8499b900,"[219.29872702007765, 0.0]",0.4536188746739934,483.442685619,False,test yes,test yes
0x109084e38587a1a42b7caea50b179d365ef82b03812bf12295bbd3ac9c9e8f59,"[0.0, 3000.8770179534595]",0.43313372800804495,6928.292173769,False,Extend by $100k,Extend by $100k
0x85eb4c9b40981615c6761d6c9262ff488b83d382d527c9212b813556fc98abdc,"[1468.739048737555, 0]",0.4323054865252361,3397.456415700,False,Yes,Yes
0x8a7f5e8ae20e068062da28ec7f967d76da18870d13a90359ca5ffd89168167d7,"[1373.300423755058, 1017.8237558887276]",0.42234190656412085,5661.583997421,False,Yes,Yes
0x955033009106797747cef1e973a22eef5eef0afaf36d0b8f7a6a46d5f32e51e5,"[4072.948335794753, 0]",0.4081963012473728,9977.915829586,False,Yes,Yes
0xd2157ff4cca12765480b0eab55c6c25af4716557d5c3a539e4ee98bbd757abac,"[4067.8969618598803, 0]",0.4012439781521372,10138.213115606,False,Yes,Yes
0xb3b03e3bff63787a2a1a03e10cb4a94bc976d673dcdae571923c2b7770e89d38,"[0.0, 3000.8770179534595]",0.400839517171266,7486.479973658,False,Integrate BTRFLY as the next Pir,Integrate BTRFLY as the next Pir
0x9f077acab3abdcc80d27a94e082d26574cd09a4f65e8ca9d38349970c50d0916,"[0.0, 880.1408998046392, 0.0, 0, 2120.7361181488204]",0.3993828964945856,7513.784501771,False,rlBTRFLY to 5 votes,rlBTRFLY to 5 votes
0x1ea36e91d90668e1e9793dd0c5403882d5de411070fb525a73b807c4a03e543a,"[0, 3000.8770179534595]",0.37196330606744327,8067.669495897,False,Update original proposal,Update original proposal
