Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0xa95d98a4287a16dda98f2d14e145ef1dc7f8e3678bf437d8d872d825e5781426,"[16150.800304711112, 0.0]",0.8234780973417596,19612.908171871,False,No objection,No objection
0x87e91896fc38ce397467c828b97e9c8c7de27fd47a4ef5ba73a5289ff3c17b6c,"[12270.800304711112, 0.0]",0.7878059927995649,15575.916427223,False,No objection,No objection
0x74bf937eddebff11241de997b4c20248bdb504831395ba232e9573a20a152580,"[12288.495682840352, 0]",0.7564954735071806,16243.977807124,False,No objection,No objection
0x0b3ad003df515b497481ae1b88b6b9bf9186e03dd62ce5bf6b60ef6ed9c07ebf,"[12288.495682840352, 0.0]",0.7342363142264297,16736.431370583,False,No objection,No objection
0xcf296f7efcce344c0803f3550bb9a13fc4e9926ce9a7a8bd05e683d83f29b6d4,"[16181.79329388719, 0]",0.7332809829090403,22067.657106954,False,No objection,No objection
0x44e5b1cd278841e97bebb22f40f1c594cbe31e124de1db82e5e4c62375570783,"[13775.112013196875, 0.0]",0.7003155805528324,19669.863695340,False,No objection,No objection
0x68f5e4c97f252aad24d023d9dd526ca8faee8565a462e39b0ece7184fb12d06b,"[13775.112013196875, 0]",0.6848062182870501,20115.343063989,False,No objection,No objection
0x5715c13cfec5218696171f5d2356a01194ffd9d2e86a73f865d95645cae86a21,"[0.0, 11985.435991929671]",0.650867705662006,18414.550126956,False,No objection,No objection
0x5ab539730bbd24a66e1119eebdcd78b5abdbc4f36fadcbaa40a74b976e06c6f7,"[12570.800304711112, 0]",0.6416780688984615,19590.509500022,False,No objection,No objection
0x1db7082c647e7b14b521b183a1650d470b44bbfeb1b1e5b260338f84e89e609e,"[0, 12548.223684093473]",0.6383835532154647,19656.245247688,False,No objection,No objection
0x1cdaeee61634fd50b15b401b8d0e4c67e7899adeb445f2fcbfc20961afb06642,"[8808.976707077578, 0]",0.6380171273073273,13806.802874172,False,No objection,No objection
0x83e51ce27582685cf7b0a08fc863214971f529d16064e2f307f456a181096377,"[17751.632096226884, 0.0]",0.601931579043893,29491.112801265,False,No objection,No objection
0x7c7ee0c3c4c6c81240ed474dd0e2c82dba32aa0bde7c5ff49d30796a353baddb,"[0, 4169.053242405428]",0.5836373875538354,7143.225110850,False,No objection,No objection
QmWwtAJA38AT3z7pUg9C1j6oGcWvAerw4nSa8byuxisMR4,"[15178.13418176415, 0]",0.5456307579932066,27817.592684086,False,No objection,No objection
0x7c2a823eb03fd6f8d98c7112e2b5bc942e394338d802d66994e5cd22f9980b99,"[0.0, 3454.3101054052327]",0.47090089234164073,7335.535272036,False,No objection,No objection
0xf5824d2f73e29b7b9c4bf0208c8ca089a4cd31c34e07e6153d3c8f07764a29f9,"[0.0, 7568.169066882307]",0.47085061606887607,16073.397397393,False,No objection,No objection
0xef419ade29572911bdcf34132c2d5687958cf3d8607014292b0210e0ccf462b4,"[17744.496706432845, 0.0]",0.46955591300041005,37789.954753306,False,No objection,No objection
