Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
0x7f25df5f1a630ccb09bb872c26cbf4dd74300cf21212de7d8ea05aa278872670,"[5412090.389316514, 0.0]",0.9931176953615266,5449596.170317296,False,"Yes, deploy nUSD/USDt/USDC pool","Yes, deploy nUSD/USDt/USDC pool"
0x94167fd04385da3af98b026ac6a593879bfe540757205ed6439ce280b1d02cb6,"[6274502.771407971, 0.0]",0.8936383161218856,7021300.069850828,False,"Yes, implement the changes","Yes, implement the changes"
0x6996816ed7f597ad2195852b999546e0f3898a47fe1bfe19621673ff49ee7d39,"[9567916.005252678, 0.0]",0.8314773966930362,11507127.004662219,False,Approve Deployment & Incentives,Approve Deployment & Incentives
0x2b588b0271f9ac11211abb3e540ccb8fcc9b9347c1a7aa0e72d45bb3aab8f87a,"[9567916.005252678, 0.0]",0.7715161764636201,12401445.746878440,False,Approve Deployment & Incentives,Approve Deployment & Incentives
0x34f40df8c30d952d7c9aaccb80a8c4467c4132ebe2e134aa4a3fd094aa119dc3,"[6846208.703562321, 0.0]",0.7531941258523216,9089567.308846291,False,Participate in Fei LaaS,Participate in Fei LaaS
0xbd94e8c4e5086ad20ee4a45316fb67e2aaca543a6beca2ab65e695701d2cd26e,"[11860656.167342452, 2224840.110933963]",0.7293001560699836,19313716.253921621,False,Implement single sided staking,Implement single sided staking
0x0dde2a8a27a1c78392e8b5d3e937c34df3bc4a78266a61b58b4b69389f7b8663,"[8032428.070244194, 0]",0.7060662428580825,11376309.448996970,False,For,For
0x7effe06933a67b615f1cd7c6f9d2605bb0fb7c8de49b92370a2d65d7867e8307,"[6853294.793871547, 0.0]",0.7038676481711318,9736624.224282149,False,Reduce emissions,Reduce emissions
0x225c0b4da7932f897c12693834621dd335ddae3ff75de8a1079434bb34650bb5,"[4846286.290451313, 0.0]",0.6738742493959079,7191677.519649621,False,Adjust fees using new guidelines,Adjust fees using new guidelines
QmUxLw9c7i7HZMXn7HpGGj3RvbET3V4YCFa693zNkcMWDX,"[9289676.40978217, 0.0]",0.6702954992938205,13859076.212758649,False,Implement a 60% admin fee,Implement a 60% admin fee
QmbfemysY4fnMsETh4g6yi7m98YKe8ZZgviB2RJPJNHoNZ,"[7252136.7206608225, 0.0]",0.6531691772319461,11102998.998505291,False,Modify nUSD swap + bridging fees,Modify nUSD swap + bridging fees
Qmf53fEb9BUEgoTnJ6gxXvTx71RBzRA8xPsnoEbxNzpPBM,"[7252136.7206608225, 0.0]",0.6330328428091198,11456177.673940340,False,Redirect 50% to Olympus Pro,Redirect 50% to Olympus Pro
0x6fba301a406126b8d918b1d0868410efb1674baf82c5c2720b0158c307c9b8a4,"[727134.2325902532, 0.0]",0.606192255953996,1199510.923223400,False,Approve deployment,Approve deployment
0x185dee9f17067c72825cad5a8277fea83942dbc5edfd4aeade13b8dd53acd4f8,"[7679368.882042255, 0]",0.5895217395489717,13026438.834838470,False,Recognize Foundation,Recognize Foundation
0xe4e9e95fe955c384380b892458339ec7f68414264971bccdae79d2b9b9a00a73,"[9567916.005252678, 0]",0.570240997102723,16778723.476328932,False,Approve use of incentives,Approve use of incentives
0x834d5ec0b758eeb30f4f9fd7106f5431c1e4b66cccce0030ce7b6fb5509bb097,"[4962208.809761096, 0.0]",0.4774699923081932,10392713.447336670,False,Approve SYN incentives,Approve SYN incentives
0x84945db62be1e2c5f2435e120dbf9b66197f84a8f7645b6c0baa28b230265d97,"[3872919.2961875806, 0]",0.4659785226523086,8311368.674554496,False,Approve Incentives,Approve Incentives
0xd0e3233f05a0095fe4c49ea7167bbe19a1013b2651ad8a7bb7780578ccced42c,"[0.0, 0.0, 1984814.915947583]",0.4615100275213238,4300697.271102903,False,"No, major disagreements","No, major disagreements"
0x30e391ac21c6f85d34361fd80ecd8baec1eaa7ec1ff3081ed5c5ed800568a52d,"[3872919.2961875815, 0]",0.31161583855065794,12428505.926402001,False,Approve Grant,Approve Grant
