Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
QmP3H8WGLiWTP2WumKyrq8yA1xz1XbwkT8brdGYePuAcES,"[16362044.465611802, 0.0]",0.9999586622473853,16362720.863718970,False,Add 1bps fee tier (1 tick),Add 1bps fee tier (1 tick)
QmWbgzHJ8nK2TDaj6LF6BxAMPahy97dMmbbU5kRBw1QkXt,"[19646549.476200346, 852.61907756]",0.9999483271337652,19648417.385321181,False,Upgrade to Governor Bravo,Upgrade to Governor Bravo
QmScNLeajiF2hQh1z9DYqTFKGgrRhHwrHisV4ynmDEQwxH,"[8357944.544669513, 360.0]",0.9999463583858486,8358752.921668524,False,Upgrade to Governor Bravo,Upgrade to Governor Bravo
QmWe6Krc81pkCtQFbd2AxytFCp1imLGUnFTEEom9YNwFte,"[7054815.95586507, 0.0]",0.9999441618424366,7055209.905787433,True,Approve,Deny
0xee4851601143b1e9655be7168ca2d0f119fba31afadf2a7f808ea12b7bb4e9df,"[35234192.70364905, 1045.8772708206884]",0.9999413795047976,35237304.209142208,False,Yes,Yes
Qmeza7LnzTLAGhHeA2psNtf1ua4kgm2Q1NHAMPeVzs5C2i,"[23020579.52054149, 283.3511608094003]",0.9999375224831873,23022301.247915581,False,YES,YES
QmZcfEhN6xx6mMyo6ins4pSMga7N3o14fW4VtFzYTRHuLj,"[11932000.710717423, 575.0]",0.9999371699507954,11933325.482144641,False,Yes,Yes
QmUMGd8r249PEEbVkF8z7ftEyvRBhtFA3T3oHMxhSJcFJ9,"[13764210.609589666, 1648.631845074324]",0.9999005969590752,13767227.745737771,False,Yes,Yes
QmNPvJSYqtpN8JeReGACfPJNx7yXZrsrcAKDsjHvbx3Pu3,"[41163545.46029458, 1716.1760376462187]",0.9998954296303308,41169566.753146723,False,"Yes, it should be lowered","Yes, it should be lowered"
Qmcs5pAv7eGBzqGn1G8LJGusME3t7bTCSfZjdyWmw88LaM,"[12834.675040136959, 6409348.929703396]",0.9998866170898011,6422911.853181398,True,No,Yes
0x7f196c3444623a33ac147d1676d84e45d3c4c56a94baa85547b77d6fab82faab,"[13702073.25018142, 44.377768211682366]",0.9998859109847911,13703681.067427350,False,Yes ,Yes 
QmVXXEXJJKjFJtwXyy4Xx3gBckhz6TvorZoLgX3yiB7Hki,"[32281131.329544634, 17780875.0174424]",0.9998824468646283,50067891.984671287,True,Yes,No
0xab1dbb6e3486073b81cc64b81d15d24a7bf82efcfc94e533de0779250df06ba9,"[15334953.559657434, 10.1622]",0.9998592812425607,15337121.942599891,False,Yes,Yes
0xe9f8e5dd7ec26f7c0e7dd9e19bb8d57497d27d4a74be01cd3cad159cf3901b7f,"[18661724.647510625, 405.33992196668504]",0.9998588572472398,18664764.383657321,False,"Yes, implement pilot as outlined","Yes, implement pilot as outlined"
0x4fdc5d5c87669d3c99072541e1c775f8dee9b906241b2ce22203737b608c8e55,"[12219756.48374037, 600.0]",0.9998501098730544,12222188.469121560,False,Yes,Yes
0xe869bc63ed483f00c520129724934a206b433dec613a498100e25f9f10fbeac7,"[44027983.81062064, 500000.0]",0.9998475283513882,44534774.101048380,False,Yes,Yes
0xd70b3e84db501c2633bc8189fcfc335726fce90584a3c37f6155580369f11023,"[16196238.741214184, 360.0]",0.9998420103209815,16199158.040993450,False,Yes,Yes
0x2f72d9f247d9ce143809bbb4af7f5b36aa50895e517cc32096b15b18b40e3191,"[18642777.784524985, 748.578002609006]",0.9998358640728715,18646586.937362339,False,Yes,Yes
0x729c19f1cafab8ed884914549e147ef401532cf6680e340a1aa0c8cc65f35f09,"[13932010.879635258, 0.0]",0.9998240742177709,13934462.310817230,False,Yes,Yes
QmQbcxLpGENeDauCAsh3BXy9H9fiiK46JEfnLqG3s8iMbN,"[8005918.316361804, 3375.6415327298228]",0.9998158548114072,8010769.102481683,False,Yes,Yes
0xe6ad2033b04559b3db6be7fa9993f05ee68f43f1061c632382c88e367e76bfb1,"[24230805.91360174, 0.0]",0.999814181803213,24235309.275069810,False,Yes,Yes
QmWhemJom3RZdH91rBPmjvAFZEr9HdFRSFVNtAae6kgbyE,"[8928904.72845728, 400.0]",0.9998073145524966,8931025.607123053,False,Yes,Yes
QmcVpxCSkL8rPmZgow8uL2GbdPZtUKS3huY9aSExKNfEK6,"[9634852.100199798, 399.21]",0.9998037991310305,9637142.125859275,False,Yes,Yes
0xe523d31000db5ecb16b002efd2ee984b958928b01cee140212eefc3ed5bcdfcd,"[17514807.50890737, 4920088.465818722]",0.9998025838374903,22439325.860326741,False,Yes - Deploy Uniswap v3 to Boba,Yes - Deploy Uniswap v3 to Boba
QmV8ZeseHEoAcGj51kGaC6gVF2BkL9BHACJDAaQ74uiaJi,"[11618647.329434235, 0.0]",0.999797793085591,11620997.175415430,False,YES,YES
0xc1aec11c9ac5698920072a5de807284a56becbadfb7bef68b2618ad00e61547c,"[19708553.532902163, 213891.40308412275]",0.9997885117111589,19926659.191040918,False,Yes,Yes
Qmehop1NNWP9VEf7tGLEAYRphVsXtdxkL7oKEhaXL2Xao6,"[38639455.106922224, 0.0]",0.999784965374236,38647765.714759313,False,FOR Uniswap v3 on Arbitrum,FOR Uniswap v3 on Arbitrum
QmZ2D27uouvVEHGuRvydwmwepgL2PEXbGzYAXqYr9bMwLo,"[9028416.473228524, 0.0]",0.9997804198229554,9030399.369920954,False,Yes,Yes
QmUrYMZrS97ZA5FeSAgs6xk7qNong5pjwXkQyYi7M6WmkC,"[5542.459543453069, 4213921.412021596]",0.9997791932511111,4220395.763432598,True,NO,YES
QmaG6nJYW3xLeQwAa6xxhpbuYS8h6PVQpbx1vfqpqxAtik,"[8324795.14718152, 995.1691664253818]",0.9997736358898299,8327675.403180372,False,Yes,Yes
QmRKyYeGRFAhBnsqRXHVVwpmmVWxWdybUTVqLM7c52EonT,"[1796.8012211741857, 2723676.250154728]",0.9997697918946112,2726100.621835154,True,"No, should not move","Yes, should move"
0xb328c7583c0f1ea85f8a273dd36977c95e47c3713744caf7143e68b65efcc8a5,"[7014236.731961837, 45.33992196668505]",0.9997694785559738,7015899.387141671,False,Yes,Yes
0x92a16fbf16e7b113700bb2a20b3ca1b71ce678c4b818983e7412eb059cff776a,"[9123747.05498445, 1255.285129448177]",0.9997565326567529,9127224.521219300,False,Yes,Yes
0x5387b0756442268d283d4ac7f3f4bc4cc0204c5e47b9708e5128fcbdea2d0cd1,"[14636934.646607617, 1407.8565991244254]",0.9997469806444842,14642047.224558931,False,Yes - Deploy Uniswap v3 to Boba,Yes - Deploy Uniswap v3 to Boba
0xbfeb7f3c4a3f1d4979b59129f9a78ee217183b0656a480612d261233fb3f8c62,"[3284016.4482889436, 400.0]",0.9997337065074781,3285291.299983168,False,Yes,Yes
QmaUPBYqkiKnwkaVNVrUDpD6fk5EXXTqJjn71qHNYW4YQn,"[43029860.05474534, 12811481.468626758]",0.999715182640649,55857250.637999423,False,Allocate 1M UNI,Allocate 1M UNI
0xe377d2b8e245404c42a6892be4232e017bf44b7fcc2e72426aa95ea5a4e01783,"[14530531.453472938, 228533.8487202728]",0.9997124290389993,14763310.801667999,False,Yes,Yes
0xa5b0e54358d8a0bff4b90461873cd4bec83e57d7b87f2e18b9a4ff81539b21ca,"[7509032.933492684, 8260.40879909871]",0.9997084208728314,7519485.867417761,False,Yes,Yes
0xa4a21c808b28a61562c6b4ebf5b71c0cd37ee2d630bcbdf91ffaf5f683cc650f,"[19833891.015727025, 0.0]",0.9996737888947208,19840363.162523411,False,Yes,Yes
