Proposal ID,score_differences,whale_vp_proportion,total_vp,outcome_changed,outcome_old,outcome_new
QmR8s9jvvJ82Mx8Ub1J5ESWFadwjjKtRpGs3vmCHbsqWUi,"[64934.64700463673, 0.0]",0.9812064121435444,66178.376130646,False,Yes,Yes
QmSjq29HXZArzr7ocKsUysDQhrHFE4of6uLCHSrC3JS8PN,"[520.900582633615, 8950.0]",0.867490156527314,10917.588529819,True,No - I disagree,Yes - I agree
0xb11403b761eecbfd5bf3cf5a76ce1e329eccd180d7bc218c88c34a1bf8d3025e,"[0.0, 3572.688389573428, 0, 0.0, 0, 0, 0, 0.0]",0.7998841216383379,4466.507451424,True,0x9dED35Aef86F3c826Ff8fe9240f9e7,ethwarsaw.eth
QmXDbfyN6rieoVEkLi4y8hteLp6CZGaz7kxLSJvGv3sxFN,"[219.52640772187766, 0]",0.7501949846982663,292.625800225,False,YES,YES
0xe98b3e8536acf6c9286139dd8db0b5d7193250ae986371db2e638a2fcb7e1b15,"[8431.68609335712, 0, 0]",0.6948049216995833,12135.328680073,False,For,For
Qme1aM2hui13hW7FcafMu8NaaAEFTfG7XhtKyrmfKyc55c,"[219.52640772187766, 0]",0.6335653693206037,346.493697970,False,Try list on kraken or Binance,Try list on kraken or Binance
0x6bf7e746749f4d772433028f16e4bf26ab5d50da83c699168ad62c1864201193,"[4765.997703781507, 0, 0]",0.42702856030524,11160.840624746,False,For,For
0x0431f1fa2059c7a620f2e5d7294c26603863cae2900a108a0d2317ebc92211df,"[4765.997703781507, 0, 0]",0.4116687374603185,11577.264120623,False,For,For
0x0a3af3213c1897f765691741b26908d9d0280e73eb8d17a8bea3fc75e7c6a637,"[8510.197011901058, 0]",0.3911597136081431,21756.322841637,False,In favor,In favor
0xd38313207e4ddd447c4f4556b1f3da788bd41654e6bb7eb9730aed2c935a2512,"[42.86, 0, 0]",0.3872202213879926,110.686368202,False,For,For
0xfb389d8b86305315f0d26d9d0a457a5aebf810f7667c26fb9a5d72c9106aae18,"[0.0, 0.0, 0, 0, 0, 0, 0, 4765.997703781507]",0.3745723522586747,12723.837397615,True,0xde22DE740609532FC0F48287b7F258,0x9dED35Aef86F3c826Ff8fe9240f9e7
QmRfNniFheijvDyzhfAweLh6BqxVQNSicmzLZpkHto5s7o,"[219.52640772187766, 0]",0.34476007878761583,636.751240149,False,Yes,Yes
QmWcFVis8GAZhHVZruEeWJMQgqkqbNEQe5fZCRo7S3t1mD,"[524.0390142184955, 0.0]",0.3234385134055161,1620.212165524,False,No,No
